pair,gain_fundamental_db,fundamental_mad,n_fund,gain_energy_db,energy_mad,n_energy,gain_combined_db,weight
A_12,-11.35880019130514,1.754458122324449,32.0,-9.757848444261064,0.9369617995342123,32,-10.798467079839714,4.5598124561679185
A_open,-11.683112289083454,6.7842387672153635,182.0,-10.223933583939687,1.7378422603109738,182,-11.172399742283135,2.812221780951546
Am7,,,,-9.590674479666642,2.268429014054197,70,-9.590674479666642,3.6882795156934374
B_12,-14.499815792013258,3.309213988429444,88.0,-12.989630399028467,2.16478885416142,88,-13.97125090446858,4.008957779039817
B_open,-17.291899809466315,6.206960391765893,194.0,-15.448264427111877,2.5764004726964234,194,-16.64662742564226,3.173488206840026
C_12,-5.97616541600762,3.7522612097085495,96.0,-4.316310479141904,3.3280325593319904,96,-5.3952161881046194,3.692814995048623
C_24,-7.645508996166342,1.2133001372554286,64.0,-7.092727548707884,1.0075861118891567,64,-7.452035489555881,9.32474014597672
C_chromatic,-11.730216480382664,5.010339971371323,172.0,-10.539638059083655,2.542420480453026,176,-11.31351403292801,3.72325195750576
C_open,-12.334854443009629,2.234577654345044,156.0,-10.594503315031172,1.4086812409108387,156,-11.72573154821717,7.904635445677936
Cmaj7,,,,-8.144190917394022,1.8353924644728152,62,-8.144190917394022,4.290094912356243
D_12,-8.5322594048964,1.5735360797336682,6.0,-8.35426879678002,0.9733346443638508,6,-8.469962692055667,2.201475809645291
D_open,-7.852823199717971,3.319979243444312,62.0,-9.296503080971975,0.7467398392142403,62,-8.358111158156872,3.354095887089791
E_12,-14.010578304442928,3.1718787187185966,100.0,-12.31808827766373,1.9237013096645625,100,-13.418206795070208,4.458599107296327
E_open,-12.555285797904848,5.491700158058608,184.0,-12.927779700759864,1.8237281504213618,184,-12.685658663904103,3.4931488502883683
G_12,-10.53998084729684,1.3512795176763506,96.0,-9.559176736746828,1.153330249759469,96,-10.196699408604335,10.254285867056124
G_open,-8.9926268355903,4.30572336538333,178.0,-9.030021002599177,1.8637277624240651,178,-9.005714794043406,4.382065605005125
