file,sha256,bytes
Copia de Azul full Cmaj7.wav,a4346f779632787746a4f261bf62a46c8ebae78ded081ecba7c0ee3c35a1cda1,5726300
Copia de Azul full a 12.wav,6f963a3cf2e8e24be0766303bee345a3b7d95ad32d1cf61d25b8dd613020d4b0,7245916
Copia de Azul full a al aire.wav,3db231c8e021c943c4a7cc976e8361764f5c05c4a196bf669be88f8f4ce41fc8,11636828
Copia de Azul full am7.wav,4b4b800001c720e17582175fb3dd839e4f65e382779628b67633cdc87926b95c,5853276
Copia de Azul full b 12.wav,bb90abfdaec8f6b4a5183032f518552c8682960ad494fbd9634203fa08fcebf1,6418524
Copia de Azul full b al aire.wav,c97814ee2a9a7daea6b87db9b6d0f88ec5384158bb2b946a555bc050c53ae452,12140636
Copia de Azul full c 12.wav,4f32f8ae42139b009989569f11b079961a19a44aa31ea3ab5099a60ce68efd7e,6090844
Copia de Azul full c al aire.wav,5838611ec642dfd4e668327a7b87201105c145ed5d42926f2f61c9c4418b23ce,12652636
Copia de Azul full d 12.wav,bb301786647bcd003d4198e877bff78bfe79cd90868cc948187422e5035c8d3a,6602844
Copia de Azul full d al aire.wav,567225cfff62f57daa862bc78424e3bfcebea0721140b5bde8cee995765bafa2,13295708
Copia de Azul full e 12.wav,02802f0031ffb07e8f99115bcbe84510c871fe864f676ebe945c9c25884df719,6406236
Copia de Azul full e al aire.wav,43304869cc1f7295d11e76a674e6b4e14eec57c9db2948332d8f2e5d56d33c83,11563100
Copia de Azul full g 12.wav,8c80ce8f74b5d07b48097d9c3c71b37c2c780089fd7eed2c5a793a669bb959ca,6197340
Copia de Azul full g al aire.wav,8c2b753fbd7fa566dcc6fd165196b1b6e5e0c3a3c60e0db55500de4841fc14a0,12439644
Copia de Azul full traste 24.wav,56cc4b33a4db7b14e9bba9bf103bc9adb9c1d417d4adadf22a0ad4762e5496f5,6008924
Copia de Cafe e 12.wav,534b47e7acd97d45e5bddd2a30bf60f9ac64274f14a3be4b3f244eb613d4bda5,6742108
Copia de Cafe#U0301 24 c.wav,24f59809d60417e1291560d13f29fd1db15f4dbed5cc1ed124a0e033cabb36f1,6193244
Copia de Cafe#U0301 a 12.wav,74ea02b257bac200a8f08af6e2d8e0ebb56c50e0158a7b5b23301febd564081d,6713436
Copia de Cafe#U0301 a al aire.wav,9c8b09afe7d44053be9b6af35040d5d690ddd601768e36aaaf0b587ca18476eb,11632732
Copia de Cafe#U0301 am7.wav,34bcfb9a68638ba996dd9cd320f8d6c36d35bb6a23f81c4225ab627f50469aaf,6344796
Copia de Cafe#U0301 b 12.wav,15a05d2182bf76fd61bb0c4a8ebeec0d7cf02e8b911f3a922b38742ac32f9f12,6713436
Copia de Cafe#U0301 b al aire.wav,88f5d9d1153d59b2f881e0aa092a2d34e4f3330e790b1bac61e4d3418a5b4e6c,11751516
Copia de Cafe#U0301 c 12.wav,4f62b5f46f3ca1206d5e79de94256717c646da43d715427f80a07eb9478c3a61,6660188
Copia de Cafe#U0301 c al aire.wav,7055b70dce6047672832aba25812cfe89a092906f42b4cd9b78250b26bcde346,11440220
Copia de Cafe#U0301 cmaj7.wav,12a4b5b4bae6964a99fee26ca03b34b32d461c12c6253cc4f4e29c4b7d84509d,6750300
Copia de Cafe#U0301 croma#U0301tica c 1 25.wav,3fdc99545ce44784e9a1adc24febf633aff864e250d214d8497aac090f4be3a2,6348892
Copia de Cafe#U0301 d 12.wav,d50b5154ff3444eacebbca362f1d63a229846b8d31fdcd1694b8f66f51470e8e,8843356
Copia de Cafe#U0301 d al aire.wav,f9edd3571fc576531ec4c913004ba90e36aad273add040293dd0e0a1170ab9cc,11706460
Copia de Cafe#U0301 e al aire.wav,8e4c7ed77aed60db5ee8b777ac96a2a950421c33961d4ef844e21708e96e742a,11849820
Copia de Cafe#U0301 g 12.wav,90a1a03be4028f569d7f2eb0b595f3b5c5d580617f2668cdb8c3dd86c3134d4f,6738012
Copia de Cafe#U0301 g al aire.wav,14651c5fa84df36f51ec277b2e4d02c0f996a82b0b5c4ac4f63e3aa82cce8ce2,11407452
Copia de Croma#U0301tica 1 25 c azul full.wav,e486f181d1e075bbca312fa6be2f9317e073876cd64862036330251b8670ccbd,6197340
