model,pair,mae,rmse,p75,p90,p95,improved
V10_2_CENTRAL,A_12,2.240839522210193,4.277973110165672,2.856860689330766,3.6529431380314055,4.21561478601924,
V10_2_CENTRAL,A_open,5.16087111159794,6.595296614550445,7.727520164538524,10.476102110585355,13.399060586040632,
V10_2_CENTRAL,B_12,2.900795971844064,4.1623855864639685,3.7224844827894414,5.730328858861167,6.778127759855627,
V10_2_CENTRAL,B_open,6.527719396666478,8.333308895768166,9.342517193823875,13.606207416420494,16.511283976128173,
V10_2_CENTRAL,C_12,4.856159208422422,6.234138273085818,7.350599539424442,10.22407971581538,11.73085731121185,
V10_2_CENTRAL,C_24,1.477384452812721,1.928880237597204,2.113072434375106,2.995106441859431,3.724954292545567,
V10_2_CENTRAL,C_chromatic,8.060698443557246,14.419173601373329,7.90071893101338,22.471036169731832,37.53714196328812,
V10_2_CENTRAL,C_open,2.509758721121828,3.278639105908673,3.421248284559727,5.432343806555082,6.479592252247883,
V10_2_CENTRAL,D_12,2.811745985463325,5.592887544778383,2.886271006754398,4.705012192701194,11.755587156483037,
V10_2_CENTRAL,D_open,3.5282209889437866,4.3918154484504335,4.9227531692175575,7.428230598224712,8.920014954677304,
V10_2_CENTRAL,E_12,3.061970283442452,4.855901435014691,3.829453784312409,5.971876298675137,7.710727288588667,
V10_2_CENTRAL,E_open,4.80287700738337,6.173690161872295,7.031026816582629,10.026427749200474,12.290807677542448,
V10_2_CENTRAL,G_12,2.8638777149821397,5.411284695439761,2.726752898481779,5.55986855521785,11.900212849244664,
V10_2_CENTRAL,G_open,3.370088682626868,4.091496447488883,4.922293672174127,6.6946513383556265,7.726432730598706,
V10_2_ROBUST,A_12,2.2494191324380983,4.2720825095762525,2.9427615702886216,3.656936027886628,4.278498468271176,
V10_2_ROBUST,A_open,5.164897611244661,6.599119398843186,7.762005104831525,10.496649143643271,13.375131243622723,
V10_2_ROBUST,B_12,2.903805869846493,4.164394214766859,3.722383557586436,5.72480425699876,6.764997465075408,
V10_2_ROBUST,B_open,6.548215609222607,8.354937513525012,9.350074870965637,13.634490030018606,16.497697024450154,
V10_2_ROBUST,C_12,4.8546085406022,6.241029788027628,7.372462550114737,10.248289684766238,11.71350554819697,
V10_2_ROBUST,C_24,1.5092953806237792,1.9538204235502104,2.157636051429879,3.06012206600144,3.668969977717589,
V10_2_ROBUST,C_chromatic,8.06171841932438,14.421856041980863,7.832732513361186,22.431776364927792,37.4478929779225,
V10_2_ROBUST,C_open,2.440813879717174,3.222060060077224,3.2863539893647653,5.2914402295416245,6.472706144060584,
V10_2_ROBUST,D_12,2.879671446014583,5.584408858049769,2.988616156035638,4.919324527285382,11.597794359657303,
V10_2_ROBUST,D_open,3.540028462027757,4.408702122721937,5.002730054779576,7.5010203379599965,8.936692322791478,
V10_2_ROBUST,E_12,3.06321182940684,4.85740320108902,3.820512690289044,5.943161350270577,7.726090330343135,
V10_2_ROBUST,E_open,4.796051151829992,6.167341746018892,7.024852190373742,9.99244836410544,12.32040039926696,
V10_2_ROBUST,G_12,2.8362284107224447,5.390098038505192,2.695262358840932,5.527562128724844,11.852312005176625,
V10_2_ROBUST,G_open,3.3754583085767544,4.097106906068736,4.9356988677683855,6.695570368824855,7.739814467233714,
V10_2_SAFE,A_12,2.202570362111483,4.234235280777228,2.4975974648201333,3.782600144720632,3.993570026906135,
V10_2_SAFE,A_open,5.179199905281144,6.6088878286417785,7.763285072300799,10.601208290167309,13.280441507888876,
V10_2_SAFE,B_12,2.907282005419202,4.145092413201169,3.8061629277218167,5.556978925666874,6.913095906108182,
V10_2_SAFE,B_open,6.47483855840748,8.265440247653741,9.276826035459935,13.55784177633417,16.44694000121109,
V10_2_SAFE,C_12,4.592334948637164,5.997497881250373,6.922122143447777,9.808349490029777,11.31246676162396,
V10_2_SAFE,C_24,1.2176971080662284,1.7992936157247774,1.494624079250828,2.8761793922341945,4.014921196185912,
V10_2_SAFE,C_chromatic,8.191589448761427,14.599326753260303,7.996909713393476,23.29435667077543,37.89689603898612,
V10_2_SAFE,C_open,2.610405463005864,3.362801907672592,3.6026391283786108,5.368923372171135,6.558177916039568,
V10_2_SAFE,D_12,2.7863065420740987,5.659259101946141,2.617055660468392,4.656994904092934,11.659796527410665,
V10_2_SAFE,D_open,3.517315461196411,4.385203275882668,4.964959527414137,7.475308745445765,8.985721730397657,
V10_2_SAFE,E_12,3.1014140250964246,4.915722812633285,4.03625012048717,5.685181638063984,8.112233976213991,
V10_2_SAFE,E_open,4.776422703088423,6.137577281132033,6.975708398003387,10.062151135041995,12.33696895264944,
V10_2_SAFE,G_12,2.9057552875725947,5.532251390116625,2.7302685185281392,5.52436488532301,11.773970346677276,
V10_2_SAFE,G_open,3.24144770494772,3.9351488738506095,4.671097217162425,6.539504377216432,7.290065355737338,
V10_2_PARAMETRIC,A_12,2.4338465382657226,4.329315965144292,3.1742229074677497,4.037293716390172,4.939223019507806,
