requested_frequency_hz,measured_grid_hz,central_db,robust_db,safe_db,parametric_db,ci95_low_db,ci95_high_db,effective_pairs,strings,families,support_state,origin
20.0,20.0,0.0014390216696238,-0.0003115461113737,0.0,-0.0148252555114648,-0.0055092143021027,0.0060397731942736,0,0,0,No identificado,Regularized/not identified
22.0,22.01852574961373,0.0059680529440588,0.0007806709185053,0.0005983048051958,-0.0300173721721107,-0.0009528649508214,0.0095851826878442,0,0,0,No identificado,Regularized/not identified
25.0,24.98810328448967,0.0099258726010541,0.0022834031243357,0.0023043985636618,-0.058302806516949,-0.0040957908303096,0.0234123987578922,0,0,0,No identificado,Regularized/not identified
28.0,27.978056408582603,0.0108465770488582,0.0035917525013021,0.0037963019671003,-0.0806566086126975,-0.0120874922234976,0.0336682529859178,0,0,0,No identificado,Regularized/not identified
30.0,29.981556215854116,0.0050807137375238,0.0016792036311764,0.0017961489371625,-0.085045156309046,-0.0241479467843961,0.0401613814332611,1,1,1,Inferido localmente,Local inference
30.87,30.853780386545285,0.0026599320049274,0.0008732972219386,0.0009388786517464,-0.0834729538178201,-0.0297402610268081,0.0432444510984337,1,1,1,Inferido localmente,Local inference
32.0,32.02031500599225,-0.0046470766296742,-0.0028547596005822,-0.001630613868976,-0.0778637301222115,-0.0379584377523835,0.042005017530853,1,1,1,Inferido localmente,Local inference
35.0,35.01494422393291,-0.0224437583233107,-0.0119806141916441,-0.0078553154131587,-0.0458523438115119,-0.0612684908771478,0.0419465688437535,0,0,0,No identificado,Regularized/not identified
38.0,37.96804836145602,-0.0478069666720682,-0.0300056624023818,-0.0167324383352238,0.0049269310557376,-0.0913694549499106,0.029446775296194,0,0,0,No identificado,Regularized/not identified
40.0,40.00634692858144,-0.0641873720639743,-0.0416468393718167,-0.0236168165384251,0.0449515106560083,-0.1081372314949298,0.0266119691677233,1,1,1,Inferido localmente,Local inference
41.2,41.17021255720125,-0.0731701750208259,-0.0480307106131196,-0.0271401205826958,0.0673828572307659,-0.1210614897759419,0.025980565877949,1,1,1,Inferido localmente,Local inference
45.0,45.02056572860353,-0.1226752434107799,-0.0896172838559983,-0.0429363351937729,0.1249740346878645,-0.1878777200938271,0.0237368712911464,0,0,0,No identificado,Regularized/not identified
48.0,48.00094372007568,-0.1583032853328531,-0.1195725215718645,-0.0554061498664986,0.1364831178117885,-0.2526160949141514,0.0237766380770784,0,0,0,No identificado,Regularized/not identified
50.0,49.984136454325935,-0.1975242773032927,-0.1624797489118652,-0.0691334970561524,0.1220273560882522,-0.2973872828104029,0.0270287645554497,0,0,0,No identificado,Regularized/not identified
52.0,51.96153957003148,-0.2351110612749642,-0.2035991751126995,-0.0981898872336388,0.088158974799998,-0.3375632677480074,0.0301453857638889,1,1,1,Inferido localmente,Local inference
55.0,55.02884977958908,-0.2909482084827567,-0.2647202719995924,-0.1255877861788407,-0.0027150153186338,-0.4057265645794216,0.0345903261253071,1,1,1,Inferido localmente,Local inference
58.0,57.98305023225609,-0.368939221916635,-0.3536336148897558,-0.2737570800944403,-0.130054475481633,-0.4994402651717506,0.028806672456012,4,3,2,Medido con incertidumbre,Measured/interpolated
60.0,59.97262697151135,-0.4192560047771997,-0.4109970619156655,-0.2734175413172142,-0.2338855556502179,-0.5599007171667993,0.0246675639577116,3,2,2,Medido con incertidumbre,Measured/interpolated
