setup,variant,global_gain_db,band,frequency_hz,gain_display_db,q_display,gain_effective_db,q_effective,at_limit
Bajo,balanced_recommended,3,1,30,15.0,0.3,11.25,0.15899999999999997,False
Bajo,balanced_recommended,3,2,148,3.5,0.3,2.625,0.16796999999999998,False
Bajo,balanced_recommended,3,3,735,-3.5,0.3,-2.625,0.17342999999999997,False
Bajo,balanced_recommended,3,4,3637,16.0,0.3,12.0,0.15822,True
Bajo,balanced_recommended,3,5,18000,-3.5,0.3,-2.625,0.17342999999999997,False
Bajo,subgrave_alternative,3,1,30,15.5,0.3,11.625,0.15860999999999997,False
Bajo,subgrave_alternative,3,2,148,2.0,0.3,1.5,0.16913999999999998,False
Bajo,subgrave_alternative,3,3,735,-0.5,0.3,-0.375,0.17108999999999996,False
Bajo,subgrave_alternative,3,4,3637,13.0,0.3,9.75,0.16055999999999995,False
Bajo,subgrave_alternative,3,5,18000,-1.5,0.3,-1.125,0.17187,False
Bajo,global_rmse_audit,3,1,30,15.0,0.3,11.25,0.15899999999999997,False
Bajo,global_rmse_audit,3,2,148,3.5,0.3,2.625,0.16796999999999998,False
Bajo,global_rmse_audit,3,3,735,-3.5,0.3,-2.625,0.17342999999999997,False
Bajo,global_rmse_audit,3,4,3637,16.0,0.3,12.0,0.15822,True
Bajo,global_rmse_audit,3,5,18000,-3.5,0.3,-2.625,0.17342999999999997,False
Bajo,minimax_regional_audit,3,1,30,16.0,0.3,12.0,0.15822,True
Bajo,minimax_regional_audit,3,2,148,2.0,0.3,1.5,0.16913999999999998,False
Bajo,minimax_regional_audit,3,3,735,-2.5,0.3,-1.875,0.17264999999999997,False
Bajo,minimax_regional_audit,3,4,3637,16.0,0.3,12.0,0.15822,True
Bajo,minimax_regional_audit,3,5,18000,-4.0,0.3,-3.0,0.17381999999999997,False
Híbrido,balanced_recommended,3,1,30,-1.5,0.3,-1.125,0.17187,False
Híbrido,balanced_recommended,3,2,148,3.0,0.3,2.25,0.16835999999999998,False
Híbrido,balanced_recommended,3,3,735,4.0,0.3,3.0,0.16757999999999998,False
Híbrido,balanced_recommended,3,4,3637,8.5,0.3,6.375,0.16406999999999997,False
Híbrido,balanced_recommended,3,5,18000,1.5,0.3,1.125,0.16953,False
Híbrido,subgrave_alternative,3,1,30,-2.0,0.3,-1.5,0.17225999999999997,False
Híbrido,subgrave_alternative,3,2,148,3.5,0.3,2.625,0.16796999999999998,False
Híbrido,subgrave_alternative,3,3,735,2.0,0.3,1.5,0.16913999999999998,False
Híbrido,subgrave_alternative,3,4,3637,10.5,0.3,7.875,0.16251,False
Híbrido,subgrave_alternative,3,5,18000,0.0,0.3,0.0,0.1707,False
Híbrido,global_rmse_audit,3,1,30,-0.5,0.3,-0.375,0.17108999999999996,False
Híbrido,global_rmse_audit,3,2,148,0.5,0.3,0.375,0.17031,False
Híbrido,global_rmse_audit,3,3,735,8.0,0.3,6.0,0.16445999999999997,False
Híbrido,global_rmse_audit,3,4,3637,3.5,0.3,2.625,0.16796999999999998,False
Híbrido,global_rmse_audit,3,5,18000,5.5,0.3,4.125,0.16640999999999997,False
Híbrido,minimax_regional_audit,3,1,30,-2.0,0.3,-1.5,0.17225999999999997,False
Híbrido,minimax_regional_audit,3,2,148,3.5,0.3,2.625,0.16796999999999998,False
Híbrido,minimax_regional_audit,3,3,735,2.5,0.3,1.875,0.16874999999999998,False
Híbrido,minimax_regional_audit,3,4,3637,10.5,0.3,7.875,0.16251,False
Híbrido,minimax_regional_audit,3,5,18000,0.0,0.3,0.0,0.1707,False
Guitarra,balanced_recommended,3,1,30,-10.5,0.3,-7.875,0.17888999999999997,False
Guitarra,balanced_recommended,3,2,148,5.5,0.3,4.125,0.16640999999999997,False
Guitarra,balanced_recommended,3,3,735,2.0,0.3,1.5,0.16913999999999998,False
Guitarra,balanced_recommended,3,4,3637,10.5,0.3,7.875,0.16251,False
Guitarra,balanced_recommended,3,5,18000,0.0,0.3,0.0,0.1707,False
Guitarra,subgrave_alternative,3,1,30,-10.0,0.3,-7.5,0.1785,False
Guitarra,subgrave_alternative,3,2,148,5.0,0.3,3.75,0.16679999999999998,False
Guitarra,subgrave_alternative,3,3,735,0.5,0.3,0.375,0.17031,False
Guitarra,subgrave_alternative,3,4,3637,12.5,0.3,9.375,0.16094999999999998,False
Guitarra,subgrave_alternative,3,5,18000,-1.5,0.3,-1.125,0.17187,False
Guitarra,global_rmse_audit,3,1,30,-9.0,0.3,-6.75,0.17771999999999996,False
Guitarra,global_rmse_audit,3,2,148,3.0,0.3,2.25,0.16835999999999998,False
Guitarra,global_rmse_audit,3,3,735,5.0,0.3,3.75,0.16679999999999998,False
Guitarra,global_rmse_audit,3,4,3637,7.5,0.3,5.625,0.16485,False
Guitarra,global_rmse_audit,3,5,18000,2.5,0.3,1.875,0.16874999999999998,False
Guitarra,minimax_regional_audit,3,1,30,-10.0,0.3,-7.5,0.1785,False
Guitarra,minimax_regional_audit,3,2,148,5.5,0.3,4.125,0.16640999999999997,False
Guitarra,minimax_regional_audit,3,3,735,0.5,0.3,0.375,0.17031,False
Guitarra,minimax_regional_audit,3,4,3637,13.0,0.3,9.75,0.16055999999999995,False
Guitarra,minimax_regional_audit,3,5,18000,-2.0,0.3,-1.5,0.17225999999999997,False
