setup,run,fundamental_hz,reference_harmonic_ratio_db,pedal_on_harmonic_ratio_db,harmonic_excess_on_minus_off_db
bass,1,100.0,-66.19533170360302,-53.07392799364317,13.121403709959843
bass,1,250.0,-67.21501201675524,-53.252546865405094,13.96246515135015
bass,1,500.0,-67.9891496294702,-54.42917137779315,13.559978251677054
bass,1,1000.0,-66.38680261829322,-56.53496287609323,9.851839742199983
bass,1,2000.0,-63.49219942385083,-62.506745898193124,0.9854535256577025
bass,1,4000.0,-59.44386708514469,-73.81974384137051,-14.375876756225816
bass,1,7000.0,,,
bass,2,100.0,-67.10612989540812,-54.05218358474165,13.053946310666475
bass,2,250.0,-61.278483176097176,-53.34684310396579,7.931640072131389
bass,2,500.0,-62.87493654330012,-54.517042137810776,8.357894405489347
bass,2,1000.0,-55.69151139312087,-57.17628454600363,-1.4847731528827586
bass,2,2000.0,-54.11902845925569,-64.20227687706122,-10.083248417805537
bass,2,4000.0,-58.94421624498917,-72.58453130674208,-13.640315061752904
bass,2,7000.0,,,
bass,3,100.0,-62.77184611045929,-54.29611584877094,8.475730261688359
bass,3,250.0,-59.76475859279648,-54.75674219892666,5.00801639386983
bass,3,500.0,-59.421948385815064,-55.88101380507347,3.5409345807415917
bass,3,1000.0,-58.92657345623963,-57.836375828580344,1.0901976276592862
bass,3,2000.0,-69.74932310904548,-64.03966502452829,5.7096580845171925
bass,3,4000.0,-71.0205976029968,-75.42771380560029,-4.407116202603489
bass,3,7000.0,,,
bass,4,100.0,-63.79230307306859,-53.714921971221756,10.077381101846834
bass,4,250.0,-65.11092871871735,-53.48052167523545,11.630407043481894
bass,4,500.0,-60.983503179140364,-56.34033369094154,4.643169488198825
bass,4,1000.0,-59.35303996053962,-59.10948038984439,0.24355957069523643
bass,4,2000.0,-54.84054498042114,-64.50326254091007,-9.662717560488915
bass,4,4000.0,-58.84731746248305,-73.32423686657155,-14.476919404088504
bass,4,7000.0,,,
hybrid,1,100.0,-66.19533170360302,-50.05189374875304,16.143437954849976
hybrid,1,250.0,-67.21501201675524,-54.302489414630315,12.912522602124925
hybrid,1,500.0,-67.9891496294702,-61.134067697183525,6.855081932286682
hybrid,1,1000.0,-66.38680261829322,-60.73715705230116,5.649645565992053
hybrid,1,2000.0,-63.49219942385083,-65.09045197491574,-1.5982525510649048
hybrid,1,4000.0,-59.44386708514469,-71.07526289679286,-11.631395811648167
hybrid,1,7000.0,,,
hybrid,2,100.0,-67.10612989540812,-51.08646893597955,16.01966095942857
hybrid,2,250.0,-61.278483176097176,-54.24386832888368,7.034614847213495
hybrid,2,500.0,-62.87493654330012,-60.61755048898768,2.257386054312432
