setup,region,median_target_uncertainty_db,p95_target_uncertainty_db
Bajo,Subgraves,0.088322557000651,0.08913284783062578
Bajo,Graves,0.0854382410466128,0.08851407331616581
Bajo,Medios,0.0837519515612825,0.13534110039205796
Bajo,Presencia,0.11821298465099335,0.2084135758350332
Bajo,Brillo,0.1345589709259158,0.17975565962357185
Híbrido,Subgraves,0.088350102304048,0.08924362811691844
Híbrido,Graves,0.0855126218998353,0.08855198445545391
Híbrido,Medios,0.08312025713045515,0.12326479946766163
Híbrido,Presencia,0.17018724544927627,0.23962984639502805
Híbrido,Brillo,0.1655107682780324,0.22784062744771308
Guitarra,Subgraves,0.0883988466376854,0.09339532109970812
Guitarra,Graves,0.0859086040703356,0.09335700637526878
Guitarra,Medios,0.0834383031580304,0.12877211124445984
Guitarra,Presencia,0.14423111834837815,0.1998592874187969
Guitarra,Brillo,0.1750357910085287,0.22864811198094925
