pair,floor_cafe_dbfs,floor_azul_dbfs,d_floor_db,d_signal_db,d_snr_db
note_a__open,-62.11,-79.64,-17.53,-12.12,5.41
note_b__open,-65.07,-78.51,-13.44,-16.6,-3.16
note_c__open,-67.15,-83.84,-16.69,-12.29,4.4
note_d__open,-77.01,-76.08,0.93,-12.62,-13.55
note_e__open,-72.26,-82.05,-9.79,-14.8,-5.01
note_g__open,-76.07,-81.68,-5.61,-10.83,-5.22
note_a__fret_12,-72.38,-76.18,-3.8,-12.58,-8.78
note_b__fret_12,-60.8,-78.89,-18.09,-14.94,3.16
note_c__fret_12,-66.23,-77.3,-11.07,-13.07,-2.0
note_d__fret_12,-62.86,-76.27,-13.41,-11.94,1.47
note_e__fret_12,-61.48,-76.96,-15.48,-14.51,0.97
note_g__fret_12,-64.77,-76.58,-11.8,-11.23,0.58
note_c__fret_24,-77.82,-79.44,-1.63,-9.23,-7.6
chord_am7,-54.05,-71.06,-17.01,-11.5,5.51
chord_cmaj7,-66.66,-75.96,-9.31,-10.77,-1.46
chromatic_c__frets_1_25,-78.21,-83.06,-4.85,-12.17,-7.32
