pair_id,role,file,leading_silence_s,floor_dbfs,signal_dbfs,snr_db,degraded
note_a__open,cafe,cafe__note_a__open.m4a,2.32,-65.12,-35.87,29.25,False
note_a__open,azul,azul__note_a__open.m4a,2.58,-82.65,-47.99,34.66,False
note_b__open,cafe,cafe__note_b__open.m4a,2.48,-68.08,-30.38,37.7,False
note_b__open,azul,azul__note_b__open.m4a,2.3,-81.52,-46.98,34.54,False
note_c__open,cafe,cafe__note_c__open.m4a,2.24,-70.16,-35.94,34.22,False
note_c__open,azul,azul__note_c__open.m4a,0.28,-86.85,-48.23,38.62,False
note_d__open,cafe,cafe__note_d__open.m4a,2.3,-80.02,-34.89,45.13,False
note_d__open,azul,azul__note_d__open.m4a,2.36,-79.09,-47.52,31.57,False
note_e__open,cafe,cafe__note_e__open.m4a,2.18,-75.27,-34.81,40.46,False
note_e__open,azul,azul__note_e__open.m4a,2.8,-85.06,-49.61,35.45,False
note_g__open,cafe,cafe__note_g__open.m4a,2.1,-79.08,-35.28,43.8,False
note_g__open,azul,azul__note_g__open.m4a,2.62,-84.69,-46.11,38.58,False
note_a__fret_12,cafe,cafe__note_a__fret_12.m4a,2.16,-75.39,-32.53,42.85,False
note_a__fret_12,azul,azul__note_a__fret_12.m4a,2.4,-79.19,-45.12,34.07,False
note_b__fret_12,cafe,cafe__note_b__fret_12.m4a,2.1,-63.81,-29.77,34.04,False
note_b__fret_12,azul,azul__note_b__fret_12.m4a,2.28,-81.9,-44.7,37.2,False
note_c__fret_12,cafe,cafe__note_c__fret_12.m4a,2.04,-69.24,-33.67,35.57,False
note_c__fret_12,azul,azul__note_c__fret_12.m4a,2.4,-80.31,-46.74,33.57,False
note_d__fret_12,cafe,cafe__note_d__fret_12.m4a,2.26,-65.87,-32.22,33.66,False
note_d__fret_12,azul,azul__note_d__fret_12.m4a,2.06,-79.28,-44.16,35.12,False
note_e__fret_12,cafe,cafe__note_e__fret_12.m4a,2.32,-64.49,-30.82,33.66,False
note_e__fret_12,azul,azul__note_e__fret_12.m4a,1.0,-79.97,-45.34,34.63,False
note_g__fret_12,cafe,cafe__note_g__fret_12.m4a,2.26,-67.78,-32.07,35.71,False
note_g__fret_12,azul,azul__note_g__fret_12.m4a,2.42,-79.59,-43.3,36.29,False
note_c__fret_24,cafe,cafe__note_c__fret_24.m4a,2.42,-80.83,-32.03,48.79,False
note_c__fret_24,azul,azul__note_c__fret_24.m4a,2.28,-82.45,-41.26,41.19,False
chord_am7,cafe,cafe__chord_am7.m4a,2.22,-57.06,-20.12,36.94,False
chord_am7,azul,azul__chord_am7.m4a,0.94,-74.07,-31.62,42.45,False
chord_cmaj7,cafe,cafe__chord_cmaj7.m4a,2.2,-69.67,-20.04,49.63,False
chord_cmaj7,azul,azul__chord_cmaj7.m4a,2.38,-78.98,-30.8,48.17,False
chromatic_c__frets_1_25,cafe,cafe__chromatic_c__frets_1_25.m4a,2.26,-81.22,-33.16,48.06,False
chromatic_c__frets_1_25,azul,azul__chromatic_c__frets_1_25.m4a,2.14,-86.07,-45.33,40.74,False
