level,group,gain_db,mad_db,p16_db,p84_db,n_observations,n_pairs
global,all,-11.835100971377983,4.675318051891374,-17.02938596622491,-7.040846786843089,1694,14
string,A,-11.663492945577003,4.297877149238248,-17.444716330943592,-6.287672859217965,292,2
string,B,-15.75881468358277,4.996622193547768,-21.441246707739527,-11.158370589131898,292,2
string,C,-10.233796621270393,4.296083937811359,-15.001565906747908,-6.4860475021606465,502,4
string,D,-8.825504399849569,4.303498212047654,-12.65696111254623,-5.457062106491284,80,2
string,E,-13.685092266265064,3.6017696267530908,-17.071759685589978,-9.431354933007364,254,2
string,G,-10.602602997578671,3.061191999982066,-13.687149066009274,-6.702583821932897,274,2
register,high,-9.205175803277275,2.711034402068953,-12.286904784502099,-6.6479943134872155,126,2
register,low,-12.493217564701933,3.6771603642006174,-15.758549443116818,-8.461402853448899,696,8
register,mid,-9.772287097261923,3.3953178923013225,-13.907235407358515,-5.657801289457885,318,3
register,sub,-13.360610783896824,6.235091464202416,-20.639152713984615,-6.731082886766611,554,3
family,chromatic,-12.068511544214605,5.212661655817396,-47.86224351262039,-8.333898643543877,172,1
family,fret12,-11.70017384979241,3.940566005207088,-15.410505984935115,-7.941769866923947,482,6
family,high,-8.048285136774354,1.9528411408193214,-9.905764514353113,-6.4860977541118485,84,1
family,open,-12.329254276471023,5.116987606872285,-18.20659416370483,-6.572517089379869,956,6
