pair,gain_db,sd,n,weight
A_12,-12.809746876668774,2.861704922148826,100,3.494420379474729
A_open,-10.206715201216337,6.750554378783227,184,2.0094142206873884
B_12,-14.294768807101407,3.2950267603978913,90,2.8791368539172515
B_open,-14.998470446389058,5.904555967867677,177,2.2531981690156826
C_12,-5.262882194152037,3.2305301300894067,96,3.032926045132273
C_24,-8.051146953314449,2.046287002228374,84,4.478917854597608
C_chromatic,-10.987795120066517,3.8438208100278417,132,2.988985663198186
C_open,-12.462711985732163,3.063737571430797,150,3.997551496617318
D_12,-8.756468968731623,1.3593853555076558,6,1.8019097622751923
D_open,-9.10054053608217,3.96447188177086,74,2.1698540243398368
E_12,-14.483245226174587,2.7944587988730274,94,3.4694946007945022
E_open,-12.569080803597025,4.991527301140469,157,2.510246529810387
G_12,-10.865706005891317,1.6229397491422304,96,6.037167415679609
G_open,-10.004153036529578,4.770111090900597,174,2.7653246867637367
