window,band,median_db,mad_db,p16_db,p84_db,n,n_pairs,pipeline_version
0-5ms,150-500,-12.588124533616693,7.014840178287827,-19.952354799756513,-2.1804345433787256,849,14,V13.0
0-5ms,20-60,-12.59120600808808,7.912388009498212,-20.670535196441882,-1.6199261281360091,849,14,V13.0
0-5ms,2000-5000,-7.230455434226769,8.24060245111378,-15.355082429898587,1.0862642214113645,849,14,V13.0
0-5ms,500-2000,-10.675754758707669,6.75519245501757,-17.16974293199925,-0.7199437015342264,849,14,V13.0
0-5ms,5000-10000,-11.82302146529463,8.301730787870707,-19.76807184717511,-2.6145945208149666,849,14,V13.0
0-5ms,60-150,-12.696772490383715,7.574870827371853,-20.356622498484498,-1.7019067945489068,849,14,V13.0
10-20ms,150-500,-12.753567602504091,3.9916609603811897,-17.49844075560789,-8.391120877306957,849,14,V13.0
10-20ms,20-60,-13.10840240585729,5.120801415547925,-18.682366586794064,-7.635311687719058,849,14,V13.0
10-20ms,2000-5000,-8.120331615471187,9.144876020793026,-15.80947879046111,2.1826131950389525,849,14,V13.0
10-20ms,500-2000,-9.041232129082964,4.954679627786764,-13.018475442105675,-1.7870389735772128,849,14,V13.0
10-20ms,5000-10000,-11.694595019305808,8.233000203881119,-20.008698900519935,-4.148262798266101,849,14,V13.0
10-20ms,60-150,-13.287052069258266,4.108355287764494,-18.019069031882143,-8.78547701145624,849,14,V13.0
20-40ms,150-500,-13.561471962844315,3.101938130991393,-17.53430571984324,-10.37641849577806,849,14,V13.0
20-40ms,20-60,-13.562477923476976,4.676025649992029,-18.611618215231744,-7.982062183317729,849,14,V13.0
20-40ms,2000-5000,-7.8221990538825,11.561921627818103,-20.07531576852568,2.903931767273023,849,14,V13.0
20-40ms,500-2000,-7.3898371029413426,5.249296468291468,-12.410325379914417,-2.048974431265985,849,14,V13.0
20-40ms,5000-10000,-12.269824700432522,10.556392875762972,-23.58764483116869,-2.3644873733206775,849,14,V13.0
20-40ms,60-150,-13.679143688761478,3.7654475658635542,-18.131220482597293,-10.248351438147736,849,14,V13.0
40-80ms,150-500,-12.566631437645924,2.2583833596883314,-14.697438148879751,-10.127987029819925,849,14,V13.0
40-80ms,20-60,-13.651752637864767,4.832124663618518,-18.203201892849574,-7.994269280112631,849,14,V13.0
40-80ms,2000-5000,-7.3850576663689935,8.769595651433265,-17.999013023907594,1.1821871816514093,849,14,V13.0
40-80ms,500-2000,-4.22392155134645,8.295649148021091,-10.866053580367911,4.4469934266783575,849,14,V13.0
40-80ms,5000-10000,-12.168007227759064,8.25749158125928,-21.019994667715594,-4.468154655052841,849,14,V13.0
40-80ms,60-150,-14.1170547209381,3.43144882550135,-17.00589271617925,-10.206963640497905,849,14,V13.0
5-10ms,150-500,-13.621903678761376,7.907605121550581,-22.621619924031467,-5.300552611435307,849,14,V13.0
5-10ms,20-60,-14.12648191957362,9.170423959597196,-23.894931318095427,-4.591966956018013,849,14,V13.0
5-10ms,2000-5000,-9.291224825345282,8.222255099240146,-17.299621057232795,-1.1042691639943745,849,14,V13.0
5-10ms,500-2000,-11.644516467554958,7.307694160733154,-19.301062463179516,-2.6960868349862372,849,14,V13.0
5-10ms,5000-10000,-13.27247437561934,8.724441538066415,-21.962354228020192,-4.42102550582073,849,14,V13.0
5-10ms,60-150,-14.096096482105914,8.460512402336475,-23.5603472078368,-5.573956056945996,849,14,V13.0
80-160ms,150-500,-11.734774837428134,2.3669123639115237,-14.065645463478598,-9.183315650879646,849,14,V13.0
80-160ms,20-60,-13.845364420440845,5.364171770980103,-19.060473712329298,-8.591303075534748,849,14,V13.0
80-160ms,2000-5000,-7.711282385661903,9.873403400886762,-15.593495519950359,3.2201521988232646,849,14,V13.0
80-160ms,500-2000,-1.945839848426772,11.259019163178529,-9.88669247535076,10.965110147966225,849,14,V13.0
80-160ms,5000-10000,-11.981389075313032,7.464377521996632,-18.901252651181363,-4.867411216906163,849,14,V13.0
80-160ms,60-150,-14.199103354780677,3.8448983177096663,-17.49050403293035,-10.088681445332586,849,14,V13.0
