frequency_hz,delta_db,n_eff
20.0,-4.1794293365902515,98.83129388248365
20.033765982017503,-4.179355603446613,98.83066558580077
20.067588971112087,-4.179281888698887,98.83003614529183
20.101469063528747,-4.1540847385559205,98.82940801879266
20.13540635567497,-4.154048018223172,98.82877646240851
20.16940094412101,-4.154011306645609,98.82814384291885
20.203452925600157,-4.153974603661123,98.8275101880314
20.237562397009018,-4.1539379091018445,98.82687552648679
20.271729455407794,-4.1539012227939365,98.82623988809725
20.30595419802054,-4.153864544557358,98.82560330378733
20.34023672223547,-4.153827874205635,98.82496580563554
20.374577125605207,-4.153791211545611,98.82432742691826
20.408975505847074,-4.153754556377208,98.8236882021547
20.443431960843377,-4.153717908493147,98.82304816715398
20.47794658864167,-4.1536812676786905,98.82240735906373
20.51251948745504,-4.153644633711347,98.82176581642048
20.547150755662393,-4.153608006360594,98.82112357920231
20.581840491808723,-4.15357138538756,98.82048068888288
20.6165887946054,-4.153534770544709,98.81983718848817
20.65139576293044,-4.153498161575536,98.81919312265491
20.686261495828813,-4.153461558214189,98.81854853769114
20.72118609251269,-4.15342496018515,98.81790348163952
20.75616965236174,-4.153388367202855,98.81725800434246
20.791212274923435,-4.153351778971313,98.81661215751016
20.82631405991329,-4.153315195183716,98.81596599479097
20.861475107215185,-4.153278615522033,98.8153195718444
20.896695516881625,-4.153242039656575,98.81467294641699
20.931975389134035,-4.153205467245569,98.81402617842095
20.967314824363047,-4.153168897934688,98.81337933001558
21.002713923128784,-4.15313233135659,98.81273246569236
21.03817278616114,-4.153095767130412,98.81208565236241
21.07369151436007,-4.153059204861272,98.81143895944794
21.109270208795884,-4.1530226441397335,98.81079245897676
21.144908970709523,-4.152986084541254,98.8101462256804
21.180607901512857,-4.152949525625616,98.80950033709613
21.21636710278897,-4.15291296693634,98.80885487367235
21.252186676292443,-4.152876408000061,98.80820991887867
21.288066723949655,-4.152839848325902,98.80756555931933
21.32400734785907,-4.152803287404798,98.80692188485159
21.360008650291512,-4.152766724708827,98.80627898870787
21.396070733690483,-4.152730159690482,98.80563696762326
21.432193700672432,-4.152693591781942,98.80499592196732
21.46837765402706,-4.152657020394296,98.80435595588082
21.504622696717597,-4.152620444916754,98.80371717741788
21.540928931881123,-4.152583864715826,98.80307969869337
21.577296462828844,-4.152547279134441,98.80244363603579
21.61372539304635,-4.1525106874910875,98.80180911014581
21.650215826193993,-4.152474089078868,98.80117624626122
21.686767866107107,-4.152437483164553,98.8005451743274
21.723381616796342,-4.152400868987579,98.799916029175
21.760057182447948,-4.152364245759028,98.79928895070341
21.796794667424063,-4.1523276126605335,98.79866408407199
21.833594176263034,-4.152290968843198,98.7980415798979
21.87045581367969,-4.152254313426422,98.79742159446181
21.907379684565655,-4.152217645496709,98.79680428992079
21.944365893989634,-4.152180964106429,98.79618983452978
21.98141454719773,-4.152144268272524,98.79557840287141
22.018525749613726,-4.152107556975176,98.79497017609361
22.055699606839394,-4.152070829156417,98.79436534215723
22.092936224654792,-4.152034083718687,98.79376409609254
22.130235709018567,-4.151997319523339,98.79316664026516
22.167598166068256,-4.151960535389094,98.79257318465207
22.20502370212059,-4.151923730090423,98.79198394712874
22.24251242367179,-4.1518869023558835,98.79139915376594
22.28006443739788,-4.15185005086638,98.79081903913833
22.317679850154974,-4.151813174253369,98.79024384664474
22.35535876897961,-4.151776271096998,98.78967382884032
22.39310130108902,-4.151739339924152,98.78910924778097
22.43090755388145,-4.15170237920646,98.78855037538135
22.46877763493648,-4.151665387358201,98.78799749378582
22.506711652015305,-4.151628362734136,98.78745089575345
22.544709713061057,-4.151591303627269,98.78691088505758
22.582771926199108,-4.151554208266508,98.78637777690071
22.620898399737378,-4.151517074814254,98.78585189834432
22.65908924216664,-4.151479901363882,98.78533358875546
22.697344562160836,-4.151442685937136,98.78482320027007
22.735664468577387,-4.15140542648143,98.78432109827325
22.774049070457483,-4.15136812086704,98.78382766189856
22.81249847702642,-4.151330766884186,98.7833432845448
22.851012797693897,-4.151293362240022,98.78286837441362
22.88959214205433,-4.151255904555482,98.78240335506639
22.928236619887155,-4.151218391362047,98.78194866600238
22.96694634115716,-4.15118082009835,98.78150476325865
23.005721416014783,-4.151143188106679,98.78107212003276
23.044561954796425,-4.151105492629335,98.78065122732826
23.083468068024768,-4.151067730804866,98.78024259462549
23.122439866409092,-4.151029899664134,98.77984675057654
23.16147746084559,-4.15099199612627,98.77946424372716
23.20058096241767,-4.150954016994439,98.77909564326545
23.239750482396303,-4.15091595895147,98.77874153979896
23.27898613224029,-4.150877818555309,98.77840254616068
23.318288023596637,-4.150839592234309,98.77807929824588
23.357656268300822,-4.150801276282328,98.77777245587997
23.397090978377143,-4.1507628668536585,98.7774827037193
23.43659226603903,-4.150724359957766,98.77721075218582
23.476160243689357,-4.150685751453793,98.7769573384368
23.515795023920777,-4.1506470370449176,98.7767232273712
23.555496719516025,-4.15060821227244,98.7765092126738
23.595265443448252,-4.150569272509685,98.77631611789873
23.63510130888133,-4.15053021295565,98.77614479759387
23.675004429170208,-4.150491028628424,98.77599613846697
23.71497491786119,-4.1504517143583675,98.77587106059649
23.75501288869229,-4.150412264781008,98.77577051868789
23.795118455593546,-4.150372674329696,98.77569550337621
23.835291732687338,-4.150332937227967,98.77564704257915
23.87553283428873,-4.150293047481615,98.77562620289979
23.915841874905773,-4.150252998870473,98.77563409108313
23.956218969239846,-4.150212784939885,98.77567185552655
23.99666423218598,-4.15017239899185,98.77574068784803
24.037177778833183,-4.150131834075819,98.77584182451207
24.07775972446476,-4.150091082979184,98.77597654851876
24.11841018455866,-4.150050138217363,98.77614619115431
24.159129274787787,-4.150008992023529,98.77635213380896
24.199917111020337,-4.149967636337972,98.77659580986257
24.24077380932012,-4.149926062797007,98.77687870664145
24.281699485946913,-4.149884262721525,98.77720236744888
24.322694257356755,-4.14984222710506,98.77756839367149
24.363758240202312,-4.1497999466014415,98.777978446966
24.404891551333183,-4.149757411511958,98.7784342515269
24.44609430779625,-4.149714611772039,98.77893759644077
24.48736662683601,-4.149671536937443,98.77949033812796
24.528708625894897,-4.14962817616993,98.78009440287727
24.570120422613623,-4.149584518222358,98.78075178947508
24.611602134831514,-4.149540551423258,98.78146457193431
24.653153880586842,-4.149496263660803,98.78223490232479
24.694775778117172,-4.149451642366169,98.78306501371186
24.736467945859694,-4.149406674496294,98.78395722320361
24.778230502451514,-4.149361346515947,98.78491393511445
24.820063566730077,-4.149315644379146,98.7859376442465
24.86196725773345,-4.149269553509872,98.78703093929522
24.903941694700666,-4.149223058782041,98.78819650638259
24.945986997072076,-4.149176144498737,98.78943713272362
24.98810328448967,-4.1491287943706405,98.79075571043042
25.03029067679745,-4.149080991493662,98.79215524045973
25.07254929404173,-4.1490327183257145,98.79363883670867
25.114879256471504,-4.148983956662617,98.79520973026456
25.157280684538794,-4.1489346876130915,98.79687127381479
25.19975369889896,-4.148884891572794,98.79862694622221
25.242298420411085,-4.148834548197391,98.80048035727292
25.284914970138285,-4.1487836363746045,98.80243525260231
25.327603469348073,-4.148732134195206,98.80449551880662
25.370364039512694,-4.148680018922905,98.80666518874635
25.413196802309475,-4.148627266963112,98.80894844704959
25.456101879621176,-4.1485738538305075,98.8113496358216
25.499079393536324,-4.148519754115401,98.81387326056961
25.542129466349575,-4.14846494144881,98.81652399635001
25.585252220562047,-4.14840938846622,98.81930669414685
25.628447778881682,-4.148353066769968,98.82222638748979
25.671716264223594,-4.148295946890225,98.82528829932097
25.7150577997104,-4.148237998244475,98.82849784912008
25.758472508672604,-4.148179189095494,98.83186066029684
25.80196051464891,-4.148119486507713,98.83538256786144
25.845521941386608,-4.148058856301956,98.83906962638315
25.889156912841898,-4.1479972630084365,98.84292811824811
25.93286555318026,-4.147934669818022,98.84696456222672
25.97664798677681,-4.147871038531612,98.8511857223635
26.020504338216632,-4.147806329507625,98.85559861720039
26.06443473229516,-4.1477405016075,98.86021052934672
26.108439294018513,-4.147673512139142,98.865029015408
26.152518148603853,-4.1476053167982165,98.87006191628805
26.19667142147976,-4.1475358696072275,98.87531736787736
26.240899238286566,-4.14746512285231,98.88080381214293
26.285201724876718,-4.1473930270176105,98.88653000863401
26.329579007315147,-4.147319530717212,98.89250504641984
26.37403121187962,-4.14724458062445,98.89873835647491
26.418558465061086,-4.147168121398602,98.90523972452893
26.463160893564062,-4.147090095608757,98.91201930439873
26.507838624306977,-4.147010443654861,98.91908763181995
26.55259178442254,-4.146929103685727,98.9264556387974
26.59742050125808,-4.146846011513975,98.93413466849299
26.64232490237595,-4.146761100527753,98.94213649067179
26.687305115553855,-4.146674301599126,98.95047331772663
26.732361268785223,-4.146585542988965,98.95915782130271
26.777493490279582,-4.146494750248295,98.96820314954546
26.822701908462907,-4.146401846115887,98.9776229449931
26.867986651978004,-4.146306750411963,98.98743136313946
26.913347849684865,-4.146209379927914,98.99764309169097
26.958785630661023,-4.146109648311826,99.00827337054457
27.004300124201954,-4.146007465949685,99.01933801251172
27.049891459821403,-4.145902739842101,99.03085342481768
27.09555976725179,-4.145795373476347,99.04283663140382
27.141305176444547,-4.145685266693593,99.05530529606344
27.187127817570513,-4.1455723155510915,99.0682777464407
27.233027821020293,-4.145456412179167,99.08177299892584
27.27900531740463,-4.145337444632789,99.09581078447886
27.325060437554768,-4.145215296737552,99.11041157541628
27.37119331252285,-4.14508984792981,99.12559661319634
27.417404073582258,-4.144960973090785,99.14138793723878
27.463692852228018,-4.144828542374377,99.15780841481865
27.510059780177144,-4.144692421028511,99.17488177207133
27.556504989369035,-4.14455246920966,99.19263262615152
27.603028611965847,-4.1444085417904315,99.21108651858717
27.649630780352858,-4.144260488159808,99.2302699498721
27.696311627138854,-4.144108152015894,99.25021041534282
27.74307128515651,-4.143951371150779,99.27093644238566
27.789909887462752,-4.143789977227294,99.29247762902325
27.836827567339153,-4.143623795547313,99.31486468392913
27.883824458292306,-4.143452644811309,99.33812946792357
27.930900694054202,-4.143276336868786,99.36230503700239
27.978056408582603,-4.143094676459314,99.38742568695521
28.025291736061448,-4.142907460943736,99.4135269996294
28.0726068109012,-4.142714480025231,99.44064589089841
28.120001767739264,-4.142515515459815,99.46882066039615
28.167476741440343,-4.142310340755923,99.49809104307877
28.215031867096837,-4.142098720862581,99.52849826267985
28.26266728002922,-4.1418804118458254,99.5600850871247
28.310383115786422,-4.141655160552874,99.59289588597339
28.358179510146233,-4.141422704263581,99.62697668996275
28.40605659911567,-4.141182770328751,99.6623752527209
