held_out_pair,held_out_family,n_observations,mae_db,rmse_db,p95_db
A_12,fret12,1100,5.107990902615908,6.951822344424214,15.055871537037412
A_open,open,1382,4.323443089343361,5.713021165355803,12.73683182002738
B_12,fret12,537,5.2135637405592545,6.952113039185896,15.081808439018197
B_open,open,3574,5.734996268452305,7.407579943365046,14.837481662419192
C_12,fret12,3612,5.235338055433489,6.734175294007049,13.701002018605918
C_24,high,953,4.699468609379574,6.046133571564915,14.481727420534897
C_chromatic,chromatic,4096,4.524094627428788,5.9929338771654965,12.84845646388488
C_open,open,647,4.283597958107144,4.9903195305294314,7.9864636851745425
D_12,fret12,184,2.6095724620515397,4.163085538988753,9.83432505293323
D_open,open,925,3.546793842000976,4.383721436238707,8.378667946579824
E_12,fret12,795,4.807182109934107,6.967170580114935,15.260198464249466
E_open,open,2808,4.038014667834386,5.227748974814017,11.065791343226456
G_12,fret12,2430,4.543559892523104,5.61656448687468,11.727032111066803
G_open,open,552,4.1926156293382855,5.480246393087442,10.731459441359007
