pair,gain_rms_db,gain_truepeak_db,gain_lufs_proxy_db,gain_fund_residual_db,gain_scalar_db
A_open,-12.108456311729746,-12.384526529710165,-11.96374481970568,-10.206715201216335,-12.108456311729746
B_open,-16.23704679987167,-15.628805301325272,-16.00991214706481,-14.998470446389058,-16.23704679987167
C_open,-12.269988168415171,-10.784022553308027,-12.1646860928742,-12.462711985732165,-12.269988168415171
D_open,-12.629726152481997,-13.035031487500149,-12.551007713868174,-9.10054053608217,-12.629726152481997
E_open,-14.85775618679152,-12.254969041556084,-14.72954686728285,-12.569080803597023,-14.85775618679152
G_open,-10.837954232348476,-10.209882560760336,-10.755283385011277,-10.004153036529578,-10.837954232348476
A_12,-12.610814258102408,-11.408596141233817,-12.4703964933042,-12.809746876668774,-12.610814258102408
B_12,-14.810464273997964,-14.958939610146436,-14.526157507362775,-14.294768807101407,-14.810464273997964
C_12,-9.896620055655015,-12.232539338550534,-11.201813002082822,-5.262882194152037,-9.896620055655015
D_12,-11.977024963831704,-8.904823295142648,-11.831708637796917,-8.756468968731623,-11.977024963831704
E_12,-14.49931157528977,-14.175920003992111,-14.315912884497038,-14.483245226174589,-14.49931157528977
G_12,-11.192112465253508,-9.788544055961218,-11.151281211394256,-10.865706005891315,-11.192112465253508
C_24,-9.26775352609542,-9.511616543957471,-9.206294130022703,-8.051146953314449,-9.26775352609542
Am7,-11.846235776914256,-11.878421055013952,-11.410771793572623,,-11.846235776914256
Cmaj7,-10.613013416083014,-12.683034101981644,-10.617815557176325,,-10.613013416083014
C_chromatic,-12.1639735587109,-11.468815342089222,-12.158060050281378,-10.987795120066515,-12.1639735587109
