pair,match_cost_median,low_frac,pair_weight,n_events
A_12,1.4347385301581557,0.02,0.7660152282935602,50
A_open,1.5479199739710428,0.041666666666666664,0.7110386434629359,96
Am7,1.6779750556109128,0.13157894736842105,0.6243265453305116,38
B_12,1.5879142416562182,0.044444444444444446,0.694183534574429,45
B_open,1.422966330456756,0.009900990099009901,0.777334595930983,101
C_12,1.8093436717813596,0.020833333333333332,0.6177818928429386,48
C_24,1.6887568686566194,0.09523809523809523,0.6327426607136114,42
C_chromatic,1.3590887058581305,0.125,0.7610065135385558,88
C_open,2.158401423425772,0.9733333333333334,0.17875888418463992,75
Cmaj7,1.8331120625010988,0.125,0.5666438170308462,40
D_12,2.0436308502533698,0.6666666666666666,0.3017770072759029,3
D_open,2.1631912890941103,0.972972972972973,0.178168632089947,37
E_12,1.6961735961491222,0.02127659574468085,0.6622434367530909,47
E_open,1.9888173513587208,0.45,0.39228968956548205,80
G_12,1.6694798778102231,0.0,0.6822080488759108,48
G_open,1.5990550480607668,0.23595505617977527,0.606215816178808,89
