variant,hold_rmse,bias_2k4k,cal_rmse,gain,alpha,scale,abs_bias
v17,4.132049373686419,0.3551974128478339,3.994364082222887,-11.994639198585128,0.0,,0.3551974128478339
hyb_light_a0.15,4.691025847378546,0.18239569890306462,3.9501583415721573,-12.194639198585127,0.15,0.9,0.18239569890306462
hyb_narrow_a0.15,4.696464204832491,0.1753708826156033,3.9400319708936746,-12.194639198585127,0.15,0.9,0.1753708826156033
hyb_narrow_a0.10,4.708020842391946,0.07287400738590111,3.8963676680059485,-12.194639198585127,0.1,0.85,0.07287400738590111
hyb_light_a0.10,4.708398908977116,0.07714686825134032,3.905009080082521,-12.194639198585127,0.1,0.85,0.07714686825134032
hyb_narrow_a0.20,4.713903922533668,0.04653535833345557,3.9210822440158815,-12.194639198585127,0.2,0.85,0.04653535833345557
hyb_light_a0.20,4.714616096689545,0.05517507338459393,3.933213406859311,-12.194639198585127,0.2,0.85,0.05517507338459393
hyb_narrow_a0.25,4.717173838847261,0.03354711399988086,3.9119305799329913,-12.194639198585127,0.25,0.85,0.03354711399988086
hyb_light_a0.25,4.718036625453873,-0.012101583883971312,3.9269968438078546,-12.194639198585127,0.25,0.85,0.012101583883971312
hyb_narrow_a0.30,4.7206613899219345,0.020679606885675383,3.8684851053259726,-12.194639198585127,0.3,0.85,0.020679606885675383
hyb_light_a0.30,4.721664351963434,-0.022783146410222832,3.8864274083760035,-12.194639198585127,0.3,0.85,0.022783146410222832
hyb_narrow_a0.40,4.72828506619972,-0.004694569796007242,3.853366085637075,-12.194639198585127,0.4,0.85,0.004694569796007242
hyb_light_a0.40,4.7295328809931725,-0.04371589772740103,3.9088350611539173,-12.194639198585127,0.4,0.85,0.04371589772740103
pf_narrow,4.78954183275051,-0.08435659541174023,3.8338984557204263,-12.29523029472269,1.0,0.43999999999999995,0.08435659541174023
pf_light,4.802181776346533,0.07914537994515158,3.934157672856344,-12.288709583631983,1.0,0.48,0.07914537994515158
