pair_id,kind,label,position,cafe_path,azul_path,cafe_old_name,azul_old_name,cafe_sha256,azul_sha256
note_a__open,note,a,open,audio/cafe_vs_azul/cafe__note_a__open.m4a,audio/cafe_vs_azul/azul__note_a__open.m4a,Copia de Café a al aire.m4a,Copia de Azul full a al aire.m4a,9fba6f0c00e0289a68ad2ed294b254a8145ca2698f3f6d24e2316323d268405a,50797c72246e27c7e1942f7e7b7e64afd038a5c77905abb923ebf42e317ecf2e
note_b__open,note,b,open,audio/cafe_vs_azul/cafe__note_b__open.m4a,audio/cafe_vs_azul/azul__note_b__open.m4a,Copia de Café b al aire.m4a,Copia de Azul full b al aire.m4a,e01e19c30283c5bdca91f0a7775e170e57dc045a08e53c3be64036c8609f90cd,e50bf6d87756f3991f0a0d7ea4a5a413b91859677a54cc8725de455a603660ab
note_c__open,note,c,open,audio/cafe_vs_azul/cafe__note_c__open.m4a,audio/cafe_vs_azul/azul__note_c__open.m4a,Copia de Café c al aire.m4a,Copia de Azul full c al aire.m4a,8c0d911cdf27a657b2b9eadfd07c83a273b5fdf224db662e1ccf327d26fbdc2c,b9954df45487a6688de8c08ea2e6699c44cc1ac72666d49f6107a53e971f31c3
note_d__open,note,d,open,audio/cafe_vs_azul/cafe__note_d__open.m4a,audio/cafe_vs_azul/azul__note_d__open.m4a,Copia de Café d al aire.m4a,Copia de Azul full d al aire.m4a,10a9c7acb56fa125e183b6631554a53ff2fd1119fa4ea36dc86c5c675c0d9e50,2d3fcbea46cbdecd5caf24c2c856e528f8401ac76c20c3e22296016806884324
note_e__open,note,e,open,audio/cafe_vs_azul/cafe__note_e__open.m4a,audio/cafe_vs_azul/azul__note_e__open.m4a,Copia de Café e al aire.m4a,Copia de Azul full e al aire.m4a,2b49fcca04176c44115c8a213eaaabf66774be5ac12d379d350771f17e0e5300,4c4c07bea50d01e25f2355ed2c3b3093b7816cb537dc3896550398f6647d60dd
note_g__open,note,g,open,audio/cafe_vs_azul/cafe__note_g__open.m4a,audio/cafe_vs_azul/azul__note_g__open.m4a,Copia de Café g al aire.m4a,Copia de Azul full g al aire.m4a,c4bad40908e07e045072f65c82a0fa698b571e98dc9109eb71bba59185d071f4,c610f680950c3bd518fb4df59ef8eebfd8820c29992f65356c32dc569456ccc2
note_a__fret_12,note,a,fret_12,audio/cafe_vs_azul/cafe__note_a__fret_12.m4a,audio/cafe_vs_azul/azul__note_a__fret_12.m4a,Copia de Café a 12.m4a,Copia de Azul full a 12.m4a,814c2b6e02cef9feb635faaa7008e54c61fa1c095eae1a04dee63286c4993616,da9d9767a8f751ad50ec03c7dc17658f80f3514edf729ba2865bcd80e219bb7a
note_b__fret_12,note,b,fret_12,audio/cafe_vs_azul/cafe__note_b__fret_12.m4a,audio/cafe_vs_azul/azul__note_b__fret_12.m4a,Copia de Café b 12.m4a,Copia de Azul full b 12.m4a,85026c1893cfd1e0009b795aa051fe28e551480826de65222c62517f6a805c91,0c2323d5a84bb5f8570f982933ffd6e158e8208fc61c78d96e9ada798320c400
note_c__fret_12,note,c,fret_12,audio/cafe_vs_azul/cafe__note_c__fret_12.m4a,audio/cafe_vs_azul/azul__note_c__fret_12.m4a,Copia de Café c 12.m4a,Copia de Azul full c 12.m4a,cc23f24f7e2b6a2d26dff3221153d81b27cec2e943c736c5a110eedaa65acbd5,c3f6e9325153f8cc7c8e21c49444b81d79313d4a8d1924dc7be6cc2c5ff2da86
note_d__fret_12,note,d,fret_12,audio/cafe_vs_azul/cafe__note_d__fret_12.m4a,audio/cafe_vs_azul/azul__note_d__fret_12.m4a,Copia de Café d 12.m4a,Copia de Azul full d 12.m4a,6b69947904ba95e07bcba0d9dcca5f1306a31b8fbcd2c7240ae36adff07f9b5a,0eb97adf9be0400089ac40d50d5e61337eef5b1fa226d5c5e4bc0b895684c482
note_e__fret_12,note,e,fret_12,audio/cafe_vs_azul/cafe__note_e__fret_12.m4a,audio/cafe_vs_azul/azul__note_e__fret_12.m4a,Copia de Cafe e 12.m4a,Copia de Azul full e 12.m4a,f9163ccd6dfa50449c6e659b5d7b87b9e45747b78d5e9bd34475da98a49bafc3,852b7a9d5b77b0e0910521d419ff7c0148fed50b0936519cc474ea1bdfaa7750
