frequency_hz,v21_db,v22_db,v20_db
1500,2.6455484387697856,2.2079613972319296,2.6552070622902093
2000,1.0554313717163295,1.1244862914419298,2.9946531916788914
2500,5.013648698406442,2.945056771580228,3.0141141043645603
3000,4.553229503433893,2.945056771580228,3.4045527250919534
3500,2.884716532111135,2.5000372875600374,3.4448840135154555
4000,-0.17986210317797066,0.01418380732285361,3.1284574556291584
5000,-0.7015211689109805,-0.43932707272922406,3.095365724298047
6000,-2.836862725802678,-0.5000000416282441,4.115494744195721
7000,-1.962071968291551,-0.5000000416282441,4.529717972947544
8000,-4.966305728796933,-0.511018174996591,4.529586068618128
10000,-0.0018431033890201533,-0.001956755525274738,0.0029216077561513435
15000,0.0,0.0,0.0
