pair,event,window,band,delta_db,match_cost
B_open,0,0-5ms,20-60,-0.818302946850892,1.209791487491098
B_open,0,0-5ms,60-150,-2.2755241795722014,1.209791487491098
B_open,0,0-5ms,150-500,-3.492140308838792,1.209791487491098
B_open,0,0-5ms,500-2000,-5.327452667163783,1.209791487491098
B_open,0,0-5ms,2000-5000,-2.0680014953987893,1.209791487491098
B_open,0,0-5ms,5000-10000,-6.10094650614063,1.209791487491098
B_open,0,5-10ms,20-60,-18.020591363349645,1.209791487491098
B_open,0,5-10ms,60-150,-20.111864152093574,1.209791487491098
B_open,0,5-10ms,150-500,-18.063357461606927,1.209791487491098
B_open,0,5-10ms,500-2000,-8.271895301272806,1.209791487491098
B_open,0,5-10ms,2000-5000,-6.602033754461274,1.209791487491098
B_open,0,5-10ms,5000-10000,-18.926227594302517,1.209791487491098
B_open,0,10-20ms,20-60,-15.742950347397759,1.209791487491098
B_open,0,10-20ms,60-150,-15.85453891278366,1.209791487491098
B_open,0,10-20ms,150-500,-13.342080582827613,1.209791487491098
B_open,0,10-20ms,500-2000,-6.976910001137789,1.209791487491098
B_open,0,10-20ms,2000-5000,-12.342702150469549,1.209791487491098
B_open,0,10-20ms,5000-10000,-12.503792105072549,1.209791487491098
B_open,0,20-40ms,20-60,-21.53786142896955,1.209791487491098
B_open,0,20-40ms,60-150,-19.826317155867883,1.209791487491098
B_open,0,20-40ms,150-500,-15.36282072438042,1.209791487491098
B_open,0,20-40ms,500-2000,-7.508479941603298,1.209791487491098
B_open,0,20-40ms,2000-5000,-13.325690229901852,1.209791487491098
B_open,0,20-40ms,5000-10000,-13.532976858247707,1.209791487491098
B_open,0,40-80ms,20-60,-18.332746636793104,1.209791487491098
B_open,0,40-80ms,60-150,-16.81706340162151,1.209791487491098
B_open,0,40-80ms,150-500,-13.328120221899468,1.209791487491098
B_open,0,40-80ms,500-2000,10.372724031593236,1.209791487491098
B_open,0,40-80ms,2000-5000,-2.7830740942184207,1.209791487491098
B_open,0,40-80ms,5000-10000,-4.271506917206025,1.209791487491098
B_open,0,80-160ms,20-60,-17.91864011985801,1.209791487491098
B_open,0,80-160ms,60-150,-16.940146308266595,1.209791487491098
B_open,0,80-160ms,150-500,-10.564717382288322,1.209791487491098
B_open,0,80-160ms,500-2000,13.00407231089578,1.209791487491098
B_open,0,80-160ms,2000-5000,-10.977048415110616,1.209791487491098
B_open,0,80-160ms,5000-10000,-11.117480258594924,1.209791487491098
B_open,1,0-5ms,20-60,-23.939466720234336,1.12809385770946
B_open,1,0-5ms,60-150,-24.968239131792203,1.12809385770946
B_open,1,0-5ms,150-500,-21.917260043723715,1.12809385770946
B_open,1,0-5ms,500-2000,-10.435838483791372,1.12809385770946
B_open,1,0-5ms,2000-5000,-12.338873106925192,1.12809385770946
B_open,1,0-5ms,5000-10000,-25.675936998420156,1.12809385770946
B_open,1,5-10ms,20-60,-9.785235259961624,1.12809385770946
B_open,1,5-10ms,60-150,-7.937431706052507,1.12809385770946
B_open,1,5-10ms,150-500,-8.515353670170576,1.12809385770946
B_open,1,5-10ms,500-2000,-2.7445070441043597,1.12809385770946
B_open,1,5-10ms,2000-5000,-4.521091029669151,1.12809385770946
