,Q_30.87,Q_41.2,Q_55,Q_120,Q_250,Q_500,Q_800,Q_1000,Q_1250,Q_1600,Q_2000,Q_3150,Q_5000,Q_8000,gain_model,B,E,A,D,G,C
Q_30.87,1.0,0.5325798635172042,-0.10181829987943941,-0.4833701231218626,0.1824182367781847,0.21499751172519319,0.2150822241340031,-0.016203550464292858,-0.14600643740468872,-0.17105707121314898,-0.15624145389486216,-0.15962333889820493,-0.16676358514391146,-0.20474957230295635,-0.08315157303140103,-0.17223250873075857,-0.07251195681768619,0.07258474266002025,0.06672691769497725,0.14492432992725038,-0.01163840696405267
Q_41.2,0.5325798635172042,1.0,0.7797471512547995,0.13125658367492216,-0.09485827705943733,0.3320167602574377,0.056727423564989415,-0.27268638188334826,-0.294751146965229,-0.2884385112289727,-0.26894346356503607,-0.2719832718600632,-0.22783757097261306,-0.26587725247075883,-0.00955714174111823,0.28704849487705686,0.07562194866094216,-0.0018116839723522594,-0.0002691275518374055,-0.10391993371825564,-0.17240733153997367
Q_55,-0.10181829987943941,0.7797471512547995,1.0,0.5850810796211472,-0.20916356503385106,0.23325793662980157,-0.09242191108810165,-0.3503279549856961,-0.28916328414789605,-0.2576695808719771,-0.23712271291666503,-0.21641264909077482,-0.14412159114553152,-0.1599518462275717,0.04643299438969202,0.44929261666455467,0.17104647662151537,-0.017777536360265314,-0.058082082140740815,-0.26529956810152727,-0.1895472129398944
Q_120,-0.48337012312186267,0.13125658367492216,0.5850810796211472,0.9999999999999998,0.11743008658522049,0.11908886636140392,-0.1337092828044205,-0.505467532634352,-0.4959436452619092,-0.4523237984108558,-0.4030598948362189,-0.3026867689780417,-0.16084412943635035,-0.13341076996408083,0.1297112165920551,0.3070210629533586,0.2147289886886145,0.14727769235542215,-0.042318656163757365,-0.33190761799911217,-0.15731222467430084
Q_250,0.1824182367781847,-0.09485827705943735,-0.20916356503385106,0.11743008658522049,0.9999999999999998,0.15797291499673957,0.09586312105380117,-0.47278235125712587,-0.6294818519995127,-0.6372489341944054,-0.6278145017360302,-0.508563261268662,-0.33692363274937726,-0.3109127651204942,0.05070911766051551,-0.043543726731473796,-0.06257724358580674,0.04016388595966033,0.1099578177656172,0.21663560054061368,-0.1718414072662827
Q_500,0.21499751172519316,0.3320167602574377,0.23325793662980157,0.11908886636140392,0.1579729149967396,1.0,0.2369784676719557,-0.7086699843118106,-0.7154650929047304,-0.7215146488746816,-0.7613870900084396,-0.7068713921238128,-0.32403129599225355,-0.34311347172172957,-0.29386967573022194,0.17302068185438013,-0.03240874239757777,0.13459554498345316,-0.03275056962851244,-0.06372376910244826,-0.0989707904048924
Q_800,0.2150822241340031,0.056727423564989415,-0.09242191108810166,-0.1337092828044205,0.09586312105380117,0.2369784676719557,0.9999999999999999,0.22684658535925026,-0.2561783590661522,-0.3746073339743875,-0.39112380495984295,-0.4379541570267371,-0.39713129694193783,-0.3616125647581759,-0.2028832323801905,-0.08127467626561664,0.055059272872469096,0.06692730787449798,0.05456535315873105,-0.04777934684214992,-0.004250168620003812
Q_1000,-0.016203550464292858,-0.2726863818833483,-0.35032795498569613,-0.505467532634352,-0.4727823512571258,-0.7086699843118106,0.22684658535925026,1.0,0.8497928014485064,0.7571397626560166,0.7217807809964143,0.5561096637726188,0.25861173270298765,0.28415376393048286,0.05515330094524609,-0.24430682375538085,-0.006444279015080835,-0.14844563468364902,0.06835040531800153,0.06476590884709524,0.16525807412578383
Q_1250,-0.14600643740468872,-0.294751146965229,-0.289163284147896,-0.4959436452619092,-0.6294818519995127,-0.7154650929047304,-0.2561783590661522,0.8497928014485064,0.9999999999999998,0.9796802240740452,0.9332923583558067,0.7785219581695667,0.4849991690326737,0.4774906345866831,0.09155381745368774,-0.1942458165652006,-0.020638518131464098,-0.1691750602621719,-0.015539398237748294,0.07306082268185096,0.18543314343660386
Q_1600,-0.171057071213149,-0.2884385112289727,-0.2576695808719771,-0.45232379841085574,-0.6372489341944054,-0.7215146488746816,-0.3746073339743875,0.7571397626560166,0.9796802240740453,1.0,0.9761984119814371,0.851454744608075,0.5413608589773445,0.5209155139515382,0.11093588663670002,-0.17506638203932456,-0.020601152941457954,-0.14840558112670663,-0.05203098982390777,0.047764145573778456,0.19979802875312164
