pair,family,string,register,event,phase,f,f0,y,snr,match_cost,kind,weight_base
A_12,fret12,A,low,0,attack,109.67608095586627,109.67608095586627,-17.03412904857656,44.69919569912263,2.2025399205375518,fundamental,0.08
A_12,fret12,A,low,0,stabilization,109.67608095586627,109.67608095586627,-16.99634134425822,47.093266114830186,2.2025399205375518,fundamental,0.14
A_12,fret12,A,low,0,body,109.67608095586627,109.67608095586627,-16.9482534108425,66.74818867925003,2.2025399205375518,fundamental,0.4
A_12,fret12,A,low,0,sustain,109.67608095586627,109.67608095586627,-16.873655350431452,66.46102726063644,2.2025399205375518,fundamental,0.3
A_12,fret12,A,low,0,decay,109.67608095586627,109.67608095586627,-16.679650698259845,53.29965443230532,2.2025399205375518,fundamental,0.08
A_12,fret12,A,low,1,attack,109.72029174686196,109.72029174686196,-14.396177546001724,48.227075307074216,2.254221963763953,fundamental,0.08
A_12,fret12,A,low,1,stabilization,109.72029174686196,109.72029174686196,-14.352696965214951,50.611283171970925,2.254221963763953,fundamental,0.14
A_12,fret12,A,low,1,body,109.72029174686196,109.72029174686196,-14.269179000287972,70.29457718271567,2.254221963763953,fundamental,0.4
A_12,fret12,A,low,1,sustain,109.72029174686196,109.72029174686196,-14.01778601186676,70.09408970873037,2.254221963763953,fundamental,0.3
A_12,fret12,A,low,1,decay,109.72029174686196,109.72029174686196,-13.899751377639404,56.92437301191043,2.254221963763953,fundamental,0.08
A_12,fret12,A,low,2,attack,109.71585734824592,109.71585734824592,-11.910955761603075,45.89483811026291,2.182458787226302,fundamental,0.08
A_12,fret12,A,low,2,stabilization,109.71585734824592,109.71585734824592,-11.873573703337923,48.23033846659372,2.182458787226302,fundamental,0.14
A_12,fret12,A,low,2,body,109.71585734824592,109.71585734824592,-11.70065613125888,67.76420760836548,2.182458787226302,fundamental,0.4
A_12,fret12,A,low,2,sustain,109.71585734824592,109.71585734824592,-11.398826109024768,67.75343995579527,2.182458787226302,fundamental,0.3
A_12,fret12,A,low,2,decay,109.71585734824592,109.71585734824592,-11.172651959376452,54.52562125735888,2.182458787226302,fundamental,0.08
A_12,fret12,A,low,3,attack,109.75308045652858,109.75308045652858,-12.99277682700869,48.44784513701892,2.243501314151636,fundamental,0.08
A_12,fret12,A,low,3,stabilization,109.75308045652858,109.75308045652858,-13.123932648234591,50.65607190423486,2.243501314151636,fundamental,0.14
A_12,fret12,A,low,3,body,109.75308045652858,109.75308045652858,-13.16783250395375,70.45020450405542,2.243501314151636,fundamental,0.4
A_12,fret12,A,low,3,sustain,109.75308045652858,109.75308045652858,-12.974563287536004,69.84294364139139,2.243501314151636,fundamental,0.3
A_12,fret12,A,low,3,decay,109.75308045652858,109.75308045652858,-14.3282861135807,55.43402791190695,2.243501314151636,fundamental,0.08
A_12,fret12,A,low,4,attack,109.83070066008314,109.83070066008314,-9.61145590862816,48.948350550419455,2.2302883782200187,fundamental,0.08
A_12,fret12,A,low,4,stabilization,109.83070066008314,109.83070066008314,-9.667048301373445,51.133694758690865,2.2302883782200187,fundamental,0.14
A_12,fret12,A,low,4,body,109.83070066008314,109.83070066008314,-9.678755933808684,71.32014032168851,2.2302883782200187,fundamental,0.4
A_12,fret12,A,low,4,sustain,109.83070066008314,109.83070066008314,-9.566633144951254,69.96632285016152,2.2302883782200187,fundamental,0.3
A_12,fret12,A,low,4,decay,109.83070066008314,109.83070066008314,-9.45327032912632,57.74172904499699,2.2302883782200187,fundamental,0.08
A_12,fret12,A,low,5,attack,109.784415820448,109.784415820448,-10.868755097455171,45.85722164853462,2.194992511919396,fundamental,0.08
A_12,fret12,A,low,5,stabilization,109.784415820448,109.784415820448,-10.816307697991547,48.165030199954124,2.194992511919396,fundamental,0.14
A_12,fret12,A,low,5,body,109.784415820448,109.784415820448,-10.756531285886156,68.0996759166815,2.194992511919396,fundamental,0.4
A_12,fret12,A,low,5,sustain,109.784415820448,109.784415820448,-10.6356696958752,67.29595450124998,2.194992511919396,fundamental,0.3
A_12,fret12,A,low,5,decay,109.784415820448,109.784415820448,-10.93466169832918,54.24603933142754,2.194992511919396,fundamental,0.08
A_12,fret12,A,low,6,attack,109.7888950471169,109.7888950471169,-10.740427744013097,47.174015553501114,2.1220255460341706,fundamental,0.08
A_12,fret12,A,low,6,stabilization,109.7888950471169,109.7888950471169,-10.800041906558004,49.5165081512274,2.1220255460341706,fundamental,0.14
A_12,fret12,A,low,6,body,109.7888950471169,109.7888950471169,-10.817587781211468,69.53749743046187,2.1220255460341706,fundamental,0.4
A_12,fret12,A,low,6,sustain,109.7888950471169,109.7888950471169,-10.74489336570175,68.59220073032994,2.1220255460341706,fundamental,0.3
A_12,fret12,A,low,6,decay,109.7888950471169,109.7888950471169,-11.379340861526488,55.25981342785463,2.1220255460341706,fundamental,0.08
A_12,fret12,A,low,7,attack,109.80149573384934,109.80149573384934,-10.563526362330045,46.70741200863071,2.123776359443151,fundamental,0.08
A_12,fret12,A,low,7,stabilization,109.80149573384934,109.80149573384934,-10.6688670387908,48.9925217973704,2.123776359443151,fundamental,0.14
A_12,fret12,A,low,7,body,109.80149573384934,109.80149573384934,-10.729250316296564,68.98231353074866,2.123776359443151,fundamental,0.4
A_12,fret12,A,low,7,sustain,109.80149573384934,109.80149573384934,-10.69145878374961,68.09869474350167,2.123776359443151,fundamental,0.3
A_12,fret12,A,low,7,decay,109.80149573384934,109.80149573384934,-11.294354402936436,54.81428903499374,2.123776359443151,fundamental,0.08
A_12,fret12,A,low,8,attack,109.8193128478788,109.8193128478788,-13.618770987430466,47.884889485601576,2.240044551050365,fundamental,0.08
A_12,fret12,A,low,8,stabilization,109.8193128478788,109.8193128478788,-13.502157768692026,50.229789628782285,2.240044551050365,fundamental,0.14
A_12,fret12,A,low,8,body,109.8193128478788,109.8193128478788,-13.323626906669368,70.41000085300283,2.240044551050365,fundamental,0.4
A_12,fret12,A,low,8,sustain,109.8193128478788,109.8193128478788,-13.0093287979886,69.34547826292174,2.240044551050365,fundamental,0.3
A_12,fret12,A,low,8,decay,109.8193128478788,109.8193128478788,-12.81343968951666,56.91192184553499,2.240044551050365,fundamental,0.08
A_12,fret12,A,low,9,attack,109.82608005748928,109.82608005748928,-12.761407143142616,48.991985299040955,2.245447789491578,fundamental,0.08
A_12,fret12,A,low,9,stabilization,109.82608005748928,109.82608005748928,-12.660364248754568,51.349009961747214,2.245447789491578,fundamental,0.14
A_12,fret12,A,low,9,body,109.82608005748928,109.82608005748928,-12.418860985637846,71.58112253104385,2.245447789491578,fundamental,0.4
A_12,fret12,A,low,9,sustain,109.82608005748928,109.82608005748928,-12.02301475726662,70.58115901712543,2.245447789491578,fundamental,0.3
A_12,fret12,A,low,9,decay,109.82608005748928,109.82608005748928,-11.953106058780383,57.880698524104744,2.245447789491578,fundamental,0.08
A_12,fret12,A,low,10,attack,109.7801249423391,109.7801249423391,-15.32354356018678,45.29268248997011,2.245918074567516,fundamental,0.08
A_12,fret12,A,low,10,stabilization,109.7801249423391,109.7801249423391,-15.507120351905431,47.7267116270162,2.245918074567516,fundamental,0.14
A_12,fret12,A,low,10,body,109.7801249423391,109.7801249423391,-15.38064885504152,67.59182358385989,2.245918074567516,fundamental,0.4
A_12,fret12,A,low,10,sustain,109.7801249423391,109.7801249423391,-15.2106048554289,67.02063311147619,2.245918074567516,fundamental,0.3
A_12,fret12,A,low,10,decay,109.7801249423391,109.7801249423391,-14.007098684356665,53.57500812319974,2.245918074567516,fundamental,0.08
A_12,fret12,A,low,11,attack,109.80572599495062,109.80572599495062,-14.276865411534516,48.476893872089114,2.268894892329409,fundamental,0.08
A_12,fret12,A,low,11,stabilization,109.80572599495062,109.80572599495062,-14.244188708481063,50.83732425844467,2.268894892329409,fundamental,0.14
A_12,fret12,A,low,11,body,109.80572599495062,109.80572599495062,-14.14124174674641,70.7842826138988,2.268894892329409,fundamental,0.4
A_12,fret12,A,low,11,sustain,109.80572599495062,109.80572599495062,-13.833548171829428,70.1821965596493,2.268894892329409,fundamental,0.3
A_12,fret12,A,low,11,decay,109.80572599495062,109.80572599495062,-11.346241106469652,57.44593876697026,2.268894892329409,fundamental,0.08
A_12,fret12,A,low,12,attack,109.82008002429251,109.82008002429251,-12.304465121018904,47.51169342949399,2.230306184330825,fundamental,0.08
A_12,fret12,A,low,12,stabilization,109.82008002429251,109.82008002429251,-12.248722415783355,49.88810895222425,2.230306184330825,fundamental,0.14
A_12,fret12,A,low,12,body,109.82008002429251,109.82008002429251,-12.100936216119894,69.99627111389164,2.230306184330825,fundamental,0.4
A_12,fret12,A,low,12,sustain,109.82008002429251,109.82008002429251,-11.905441092442189,69.26919710538797,2.230306184330825,fundamental,0.3
A_12,fret12,A,low,12,decay,109.82008002429251,109.82008002429251,-11.513274250829728,56.58863973289098,2.230306184330825,fundamental,0.08
A_12,fret12,A,low,13,attack,109.80556131487265,109.80556131487265,-14.743316593348451,47.30454797851572,2.24663727976466,fundamental,0.08
A_12,fret12,A,low,13,stabilization,109.80556131487265,109.80556131487265,-14.648911452292154,49.70084631295265,2.24663727976466,fundamental,0.14
A_12,fret12,A,low,13,body,109.80556131487265,109.80556131487265,-14.444740595389645,69.72114025360015,2.24663727976466,fundamental,0.4
A_12,fret12,A,low,13,sustain,109.80556131487265,109.80556131487265,-14.0798998942196,69.01638536084286,2.24663727976466,fundamental,0.3
A_12,fret12,A,low,13,decay,109.80556131487265,109.80556131487265,-13.751642296444302,56.356780665656174,2.24663727976466,fundamental,0.08
A_12,fret12,A,low,14,attack,109.79971758038037,109.79971758038037,-14.05903255503901,46.159493053249854,2.213244221303744,fundamental,0.08
A_12,fret12,A,low,14,stabilization,109.79971758038037,109.79971758038037,-13.920521393278024,48.54497138850385,2.213244221303744,fundamental,0.14
A_12,fret12,A,low,14,body,109.79971758038037,109.79971758038037,-13.696280292645769,68.55660372917907,2.213244221303744,fundamental,0.4
A_12,fret12,A,low,14,sustain,109.79971758038037,109.79971758038037,-13.4040029248158,67.79764729552683,2.213244221303744,fundamental,0.3
