pair,band,delta_median_db,delta_mad_db,n
A_12,150-500,-11.80953077993825,2.1310675918134874,96
A_12,20-60,-12.821560373452478,3.445000132797621,96
A_12,2000-5000,-6.524991260015071,8.16209244388793,96
A_12,500-2000,-5.585831810820569,4.260680969256614,96
A_12,5000-10000,-11.580183020970466,8.196325263710778,96
A_12,60-150,-13.529090042880963,2.870952060459227,96
A_open,150-500,-13.091008632380102,4.653975085813093,546
A_open,20-60,-13.061512302238935,7.562617267897365,546
A_open,2000-5000,-6.62562324755455,7.996646240867679,546
A_open,500-2000,-2.640914381918204,9.232693892378341,546
A_open,5000-10000,-11.911165501598703,9.204188700485814,546
A_open,60-150,-14.14254500397072,5.085723089813094,546
B_12,150-500,-12.814686909208156,3.9976679985956705,264
B_12,20-60,-15.59199267326159,4.0673100105500914,264
B_12,2000-5000,-13.883281985032205,7.348839869157819,264
B_12,500-2000,-3.5418527658278265,11.628569252817018,264
B_12,5000-10000,-13.981071744399458,7.2600413943017905,264
B_12,60-150,-14.990942029067895,3.456809737045347,264
B_open,150-500,-12.708204074228362,4.617018117492937,582
B_open,20-60,-15.792339447419796,6.074878350630094,582
B_open,2000-5000,-11.838357702060613,7.233289077345618,582
B_open,500-2000,-3.122253838198496,9.292931733168633,582
B_open,5000-10000,-13.89378114687105,7.143038804013013,582
B_open,60-150,-15.931621238273646,5.330927867832015,582
C_12,150-500,-12.47559266009377,1.6449914367865923,288
C_12,20-60,-11.922106739627154,3.7559538555345156,288
C_12,2000-5000,-8.100011462666334,4.624292192594588,288
C_12,500-2000,-11.710324572049146,1.8307089969534314,288
C_12,5000-10000,-10.92759721802279,8.553979851628258,288
C_12,60-150,-12.84886743327126,2.6915486550508825,288
C_24,150-500,-9.54236813013879,1.6887386673065912,192
C_24,20-60,-9.785168167841434,4.636884741800595,192
C_24,2000-5000,-2.643166678388095,2.97820867324772,192
C_24,500-2000,-9.476311470375613,1.3180393199438825,192
C_24,5000-10000,-8.97463123953289,4.505584751435989,192
C_24,60-150,-9.617444584696749,2.546390880234577,192
C_chromatic,150-500,-14.07188929532586,8.160645535119258,528
C_chromatic,20-60,-13.535004597473595,10.386176300677619,528
C_chromatic,2000-5000,-11.486609757578783,12.875214084813322,528
C_chromatic,500-2000,-12.799769957601441,9.186793133514097,528
C_chromatic,5000-10000,-10.711427231638922,7.646229456663589,528
C_chromatic,60-150,-13.574086467290982,9.177575312078833,528
C_open,150-500,-13.11021049145199,1.8784763483556177,468
C_open,20-60,-12.470093972414936,3.957097342382096,468
C_open,2000-5000,-6.540790212139534,6.0141646189697004,468
C_open,500-2000,-12.144869636655155,2.114120318688085,468
C_open,5000-10000,-11.760267180977621,10.284450941503732,468
C_open,60-150,-13.273563964582408,3.16342441749258,468
D_12,150-500,-10.879103918276037,1.0901504715349233,18
D_12,20-60,-11.553156587360824,2.0389245288727493,18
D_12,2000-5000,-0.7189258164980998,5.813276558201575,18
D_12,500-2000,-4.933413712846946,4.243565778439738,18
D_12,5000-10000,-9.939039529572788,6.369188778493854,18
D_12,60-150,-11.416852912682426,1.7791358930748935,18
D_open,150-500,-11.35807282249499,1.571646302178262,186
D_open,20-60,-11.657614881468774,4.089155277140673,186
D_open,2000-5000,4.455764186856186,6.706926837747803,186
D_open,500-2000,-4.146070890356349,4.393088602968762,186
D_open,5000-10000,-7.215857787555585,7.779453958156816,186
D_open,60-150,-12.028657300753437,2.387803219081808,186
E_12,150-500,-15.467935531408898,2.7105242023264857,300
E_12,20-60,-16.78035997627393,4.322928907185083,300
E_12,2000-5000,-14.59798113860765,6.440399628204984,300
E_12,500-2000,-5.829327349209709,10.739800753946824,300
E_12,5000-10000,-15.480020912281695,6.812969280987672,300
E_12,60-150,-16.106177871043013,3.33629928867124,300
E_open,150-500,-13.53272012311438,4.410063033696385,552
E_open,20-60,-14.943262990147485,5.559834492244138,552
E_open,2000-5000,-10.877689712865347,9.76180122444732,552
E_open,500-2000,-1.7188891166998985,8.620943020007866,552
E_open,5000-10000,-14.632182066028435,8.55966255051451,552
E_open,60-150,-15.478025532480832,4.642661127184146,552
G_12,150-500,-12.242084015569564,1.3458201676884645,288
G_12,20-60,-11.930219531107635,4.495998652774592,288
G_12,2000-5000,-0.9487229884193198,5.387614392393515,288
G_12,500-2000,-9.17560420035564,3.1262459306346506,288
G_12,5000-10000,-11.357512550659948,10.062563595307473,288
G_12,60-150,-12.926406068662395,2.2184333703653136,288
G_open,150-500,-10.867123766036187,3.2691319757831674,534
G_open,20-60,-11.185878455355724,5.203061635943658,534
G_open,2000-5000,0.1672048688777963,6.581553089361639,534
G_open,500-2000,-7.966216629433326,3.2429511575033767,534
G_open,5000-10000,-14.479207699826482,12.764898030478406,534
G_open,60-150,-10.747160036576112,4.494937844098471,534
