string,family,f_min,f_max,events,pairs
A,fret12,40.0,660.7627001020641,16,1
A,open,40.0,270.7102309762753,91,1
B,fret12,40.0,307.51595113544846,44,1
B,open,30.546602278372916,162.57462287848793,97,1
C,chromatic,40.0,3936.6537573231885,88,1
C,fret12,40.0,3050.7123603035984,48,1
C,high,40.0,2685.581169531614,32,1
C,open,40.0,270.7102309762753,78,1
D,fret12,40.0,1419.7876377926898,3,1
D,open,40.0,238.30968404936382,31,1
E,fret12,40.0,512.0584792805427,50,1
E,open,40.0,209.7870675478266,92,1
G,fret12,40.0,1832.1007288807077,48,1
G,open,40.0,110.90824155768556,89,1
