model,region,n,pairs,mae,rmse,p90,p95
V10_2_CENTRAL,20-40,485,1,5.430324042877779,6.881678535445729,11.8420973602185,14.195224361038507
V10_2_CENTRAL,40-60,946,3,4.594613440064227,5.937253065109241,9.921052740218851,12.263330251379918
V10_2_CENTRAL,60-100,3037,8,4.488093167048222,5.976783749980883,9.78557498792963,12.107764803166654
V10_2_CENTRAL,100-160,2764,11,4.762925998050556,6.530620634482593,10.39381489103264,13.338308623929825
V10_2_CENTRAL,160-250,4435,10,5.3272968995592835,7.939668825676714,11.507477189824415,15.253297786728071
V10_2_CENTRAL,250-400,3039,12,5.133533201038021,9.432049326057786,10.185113547490923,15.816177890573082
V10_2_CENTRAL,400-630,2339,8,4.516093161254428,8.404293888415106,9.40022634238428,13.276585667743353
V10_2_CENTRAL,630-1000,2490,7,5.512308170429698,8.26527130519037,11.860428315150783,16.080845964408834
V10_2_CENTRAL,1000-1600,3232,8,8.039522657112373,11.233949175531828,17.777007577586083,24.406370245075465
V10_2_CENTRAL,1600-2500,3356,6,12.715415280419943,18.036230216876252,27.974315306815384,35.85863555005244
V10_2_CENTRAL,2500-4000,1650,5,14.528821761295582,18.730408469682423,27.878262998312547,35.328351012095595
V10_2_CENTRAL,4000-6300,85,5,17.397784599925775,24.788305259873233,26.49279985037448,37.93812165684154
V10_2_CENTRAL,6300-8000,4,1,6.084687512786236,9.619241061452108,14.768907322719405,17.66602768120495
V10_2_CENTRAL,8000-12000,44,3,7.458859779549275,15.426005609016476,11.805221223746297,27.474117677537535
V10_2_CENTRAL,12000-16000,215,3,8.741795755801867,17.005471409404457,35.45867937468612,45.64867630019093
V10_2_CENTRAL,phase_attack,6013,14,4.501558379009861,6.510744951543037,9.994137204890949,12.995952531852577
V10_2_CENTRAL,phase_body,6670,14,4.833659894492111,7.408917195981638,10.167790193095648,13.45779663254419
V10_2_CENTRAL,phase_decay,3667,14,5.549305183467235,7.8831567925164,12.101850627461886,15.191114843984298
V10_2_CENTRAL,phase_stabilization,5760,14,4.751874664178275,6.856048305135398,10.63888384044472,14.210837337750508
V10_2_CENTRAL,phase_sustain,6011,14,5.273784489921472,7.8053783682218345,10.846060048898268,14.179199793132744
V10_2_ROBUST,20-40,485,1,5.429627955792177,6.880926955351373,11.843098560166208,14.193489579893281
V10_2_ROBUST,40-60,946,3,4.5973904954503455,5.94003826137153,9.946976692920133,12.249248400807536
V10_2_ROBUST,60-100,3037,8,4.489017338456298,5.977851838590565,9.781169670813206,12.09069723802231
V10_2_ROBUST,100-160,2764,11,4.76130837144358,6.544049626597099,10.542320391931774,13.374949042523655
V10_2_ROBUST,160-250,4435,10,5.332156645221896,7.94583522822263,11.58220443987465,15.255625420572533
V10_2_ROBUST,250-400,3039,12,5.117692590035168,9.431464570659259,10.10506477724143,15.799881307886121
V10_2_ROBUST,400-630,2339,8,4.5522971765143785,8.422662233984298,9.460378812637076,13.238703546117334
V10_2_ROBUST,630-1000,2490,7,5.494429366484276,8.238859238963707,11.830067404694713,16.033146503441767
V10_2_ROBUST,1000-1600,3232,8,8.011547301040151,11.205431731040392,17.782580553740523,24.36804924644143
V10_2_ROBUST,1600-2500,3356,6,12.715109688232962,18.04190456169773,27.960409247932798,35.81429025415738
V10_2_ROBUST,2500-4000,1650,5,14.584798896430945,18.780367735419006,27.966016326331637,35.44380548042037
V10_2_ROBUST,4000-6300,85,5,17.407378334349797,24.799807589221004,26.58637728821133,37.94819880381116
V10_2_ROBUST,6300-8000,4,1,6.088491792080133,9.554944297609685,14.651089186516304,17.54112096482389
V10_2_ROBUST,8000-12000,44,3,7.444606968720186,15.42788690972407,11.766985364572925,27.55696905911539
V10_2_ROBUST,12000-16000,215,3,8.741562517774549,17.018285405904003,35.45009626935628,45.71548110674681
V10_2_ROBUST,phase_attack,6013,14,4.514822755626072,6.522470368500119,10.01969960336707,13.088787059621803
V10_2_ROBUST,phase_body,6670,14,4.834635284577171,7.413989069902584,10.214871445029967,13.538809941849975
V10_2_ROBUST,phase_decay,3667,14,5.544006544873364,7.880742375922382,12.07921645247081,15.165178374200718
V10_2_ROBUST,phase_stabilization,5760,14,4.763240418742769,6.868798742788457,10.668595209401506,14.221796955562125
V10_2_ROBUST,phase_sustain,6011,14,5.268379014538626,7.805671397801483,10.85483201563764,14.206841770891385
V10_2_SAFE,20-40,485,1,5.429659050107092,6.880961014490217,11.84305822356162,14.193576680397063
V10_2_SAFE,40-60,946,3,4.611868212642469,5.953656558652696,10.009616417771214,12.205104172813948
V10_2_SAFE,60-100,3037,8,4.48718673689396,5.988018434199676,9.815964613378199,12.211098967627366
V10_2_SAFE,100-160,2764,11,4.750794176976375,6.495132314268253,10.313852319278551,13.054685656235778
V10_2_SAFE,160-250,4435,10,5.265163486980552,7.879204216105683,11.308090682092166,15.050300473053424
V10_2_SAFE,250-400,3039,12,5.055369028609792,9.41461469194103,9.959265547149055,15.545170848242698
V10_2_SAFE,400-630,2339,8,4.38121131646055,8.394503634080786,8.922349874631497,12.781394258587056
V10_2_SAFE,630-1000,2490,7,5.496520800514221,8.305315415812053,11.887378196965203,16.298968113178326
V10_2_SAFE,1000-1600,3232,8,8.046729178391336,11.398218872905188,17.927591133994277,25.2422551264206
V10_2_SAFE,1600-2500,3356,6,13.189182630509857,18.598197218884874,29.085708109442265,37.032671630988226
V10_2_SAFE,2500-4000,1650,5,15.158630303965102,19.320026508983005,28.645724102274656,36.61737210224506
V10_2_SAFE,4000-6300,85,5,17.902301005148722,25.268131177738343,27.156486191625547,38.97686689567268
V10_2_SAFE,6300-8000,4,1,6.367321752944123,9.7865333681425,15.025374256074993,17.927080136083404
V10_2_SAFE,8000-12000,44,3,7.5545852964459765,15.611960211220959,11.963604803362834,27.945986909858217
V10_2_SAFE,12000-16000,215,3,8.950464390944287,17.179775819631,35.15580257604577,45.9337675654154
V10_2_SAFE,phase_attack,6013,14,4.477783263844074,6.506151806981703,9.961647277985342,12.958291120505784
V10_2_SAFE,phase_body,6670,14,4.802318631571442,7.408231869494285,10.198500882332365,13.34506131951717
V10_2_SAFE,phase_decay,3667,14,5.532909890504145,7.8736059618164775,11.963252080609072,15.05735595230318
V10_2_SAFE,phase_stabilization,5760,14,4.726359453318858,6.844829032289812,10.548881497472362,14.120235653309262
V10_2_SAFE,phase_sustain,6011,14,5.250998097716942,7.803607094297899,10.67164112701744,14.294153867151842
V10_2_PARAMETRIC,20-40,485,1,5.396065270779902,6.845188394366869,11.789393088391952,14.109251030397184
V10_2_PARAMETRIC,40-60,946,3,4.625897909351513,5.969050172191642,10.056476500023336,12.125721247967599
V10_2_PARAMETRIC,60-100,3037,8,4.526270032836822,5.988696720473691,9.707749108507587,11.995016027359053
V10_2_PARAMETRIC,100-160,2764,11,4.6791966729205186,6.418796310369743,10.257304570971716,12.983557804286017
V10_2_PARAMETRIC,160-250,4435,10,5.315451040285761,7.892205282601505,11.427042023315508,14.976129123354605
V10_2_PARAMETRIC,250-400,3039,12,5.269117608451786,9.433639388199248,10.404615719799462,15.971767189440124
V10_2_PARAMETRIC,400-630,2339,8,4.418958010359396,8.371666694795072,9.557827433107812,13.391322799441262
V10_2_PARAMETRIC,630-1000,2490,7,5.551633261803306,8.349900305128495,12.074665955729348,16.32515609189107
V10_2_PARAMETRIC,1000-1600,3232,8,8.180882792278092,11.366892417123449,18.046217873213596,24.78443047598694
V10_2_PARAMETRIC,1600-2500,3356,6,12.910202306498103,18.275713435561663,28.65540176411136,36.70331161940952
V10_2_PARAMETRIC,2500-4000,1650,5,14.689362068316914,18.891556652648443,28.26466485229236,35.63966041516901
V10_2_PARAMETRIC,4000-6300,85,5,16.959385852974066,24.403649681441653,25.608843673334775,37.194299405585646
V10_2_PARAMETRIC,6300-8000,4,1,5.8674699735247575,9.852867856410972,15.246049836448835,18.13554010342048
V10_2_PARAMETRIC,8000-12000,44,3,7.720285512227664,15.53483140694841,12.464527782481563,27.441013316122135
V10_2_PARAMETRIC,12000-16000,215,3,8.951406228052154,16.989929549298907,35.459623287303785,45.346469262956994
V10_2_PARAMETRIC,phase_attack,6013,14,4.492611107432254,6.494367979967015,9.928004278015674,13.071328477867121
V10_2_PARAMETRIC,phase_body,6670,14,4.840815375390422,7.387491116582986,10.226384660581054,13.248350006958201
V10_2_PARAMETRIC,phase_decay,3667,14,5.5556089557881485,7.865611306413004,12.013083742519475,15.205831152057891
V10_2_PARAMETRIC,phase_stabilization,5760,14,4.74555759843138,6.8345436731875,10.620644851742139,14.142960576390308
V10_2_PARAMETRIC,phase_sustain,6011,14,5.2790219665093785,7.785190425068188,10.739893264206588,14.109267246094678
V10_2_NO_SUB,20-40,485,1,5.429296303251827,6.880569753446925,11.843582380757125,14.192677907501558
V10_2_NO_SUB,40-60,946,3,4.625475650643668,5.967659462017096,10.026675340304038,12.13053640628625
V10_2_NO_SUB,60-100,3037,8,4.476373118920466,5.957059758283583,9.788702434660301,12.010050420188538
V10_2_NO_SUB,100-160,2764,11,4.75990485391319,6.528334443207964,10.465813525772395,13.335825566530346
V10_2_NO_SUB,160-250,4435,10,5.340232378295066,7.955539822720083,11.557902773259748,15.316065133916608
V10_2_NO_SUB,250-400,3039,12,5.119206905155085,9.427092477926418,10.185213257812881,15.760335869840299
V10_2_NO_SUB,400-630,2339,8,4.516286181188472,8.404856313059666,9.401507534469916,13.251882288917855
V10_2_NO_SUB,630-1000,2490,7,5.512832609179847,8.267365604002723,11.860428315150783,16.080845964408834
V10_2_NO_SUB,1000-1600,3232,8,8.039528078010056,11.233960557074544,17.777007577586083,24.406370245075465
V10_2_NO_SUB,1600-2500,3356,6,12.715415280419943,18.036230216876252,27.974315306815384,35.85863555005244
