pair,family,string,register,event,phase,f,f0,y,snr,match_cost,kind,weight_base,harmonic,frequency_cafe,frequency_azul
B_open,open,B,sub,0,attack,40.0,30.89965907634067,,,1.209791487491098,band_residual,0.008,,40.0,40.0
B_open,open,B,sub,0,stabilization,40.0,30.89965907634067,,,1.209791487491098,band_residual,0.014000000000000002,,40.0,40.0
B_open,open,B,sub,1,attack,40.0,30.87740626140717,,,1.12809385770946,band_residual,0.008,,40.0,40.0
B_open,open,B,sub,1,stabilization,40.0,30.87740626140717,,,1.12809385770946,band_residual,0.014000000000000002,,40.0,40.0
B_open,open,B,sub,2,attack,40.0,31.03349802852353,,,1.6912885252330219,band_residual,0.008,,40.0,40.0
B_open,open,B,sub,2,stabilization,40.0,31.03349802852353,,,1.6912885252330219,band_residual,0.014000000000000002,,40.0,40.0
B_open,open,B,sub,3,attack,40.0,30.86052372110672,,,1.3007010260255283,band_residual,0.008,,40.0,40.0
B_open,open,B,sub,3,stabilization,40.0,30.86052372110672,,,1.3007010260255283,band_residual,0.014000000000000002,,40.0,40.0
B_open,open,B,sub,4,attack,40.0,30.87774573880563,,,1.3408857613853389,band_residual,0.008,,40.0,40.0
B_open,open,B,sub,4,stabilization,40.0,30.87774573880563,,,1.3408857613853389,band_residual,0.014000000000000002,,40.0,40.0
B_open,open,B,sub,5,attack,40.0,30.87037690710202,,,1.6795940006924723,band_residual,0.008,,40.0,40.0
B_open,open,B,sub,5,stabilization,40.0,30.87037690710202,,,1.6795940006924723,band_residual,0.014000000000000002,,40.0,40.0
B_open,open,B,sub,6,attack,40.0,30.879371590836204,,,1.4064102122364088,band_residual,0.008,,40.0,40.0
B_open,open,B,sub,6,stabilization,40.0,30.879371590836204,,,1.4064102122364088,band_residual,0.014000000000000002,,40.0,40.0
B_open,open,B,sub,7,attack,40.0,30.929728908562193,,,1.3094095927611444,band_residual,0.008,,40.0,40.0
B_open,open,B,sub,7,stabilization,40.0,30.929728908562193,,,1.3094095927611444,band_residual,0.014000000000000002,,40.0,40.0
B_open,open,B,sub,8,attack,40.0,30.89080425308377,,,1.0941544453811514,band_residual,0.008,,40.0,40.0
B_open,open,B,sub,8,stabilization,40.0,30.89080425308377,,,1.0941544453811514,band_residual,0.014000000000000002,,40.0,40.0
B_open,open,B,sub,9,attack,40.0,30.867458489391353,,,1.532996569973463,band_residual,0.008,,40.0,40.0
B_open,open,B,sub,9,stabilization,40.0,30.867458489391353,,,1.532996569973463,band_residual,0.014000000000000002,,40.0,40.0
B_open,open,B,sub,10,attack,40.0,30.86163416980313,,,1.2129589296517296,band_residual,0.008,,40.0,40.0
B_open,open,B,sub,10,stabilization,40.0,30.86163416980313,,,1.2129589296517296,band_residual,0.014000000000000002,,40.0,40.0
B_open,open,B,sub,11,attack,40.0,30.88917340791422,,,1.505664932960541,band_residual,0.008,,40.0,40.0
B_open,open,B,sub,11,stabilization,40.0,30.88917340791422,,,1.505664932960541,band_residual,0.014000000000000002,,40.0,40.0
B_open,open,B,sub,12,attack,40.0,30.91674469177291,,,1.3511522863015175,band_residual,0.008,,40.0,40.0
B_open,open,B,sub,12,stabilization,40.0,30.91674469177291,,,1.3511522863015175,band_residual,0.014000000000000002,,40.0,40.0
B_open,open,B,sub,13,attack,40.0,30.824917916505104,,,1.4904600090045015,band_residual,0.008,,40.0,40.0
B_open,open,B,sub,13,stabilization,40.0,30.824917916505104,,,1.4904600090045015,band_residual,0.014000000000000002,,40.0,40.0
B_open,open,B,sub,14,attack,40.0,30.871086328840647,,,1.5249277299985444,band_residual,0.008,,40.0,40.0
B_open,open,B,sub,14,stabilization,40.0,30.871086328840647,,,1.5249277299985444,band_residual,0.014000000000000002,,40.0,40.0
B_open,open,B,sub,15,attack,40.0,30.862991063521598,,,1.5073853428885169,band_residual,0.008,,40.0,40.0
B_open,open,B,sub,15,stabilization,40.0,30.862991063521598,,,1.5073853428885169,band_residual,0.014000000000000002,,40.0,40.0
B_open,open,B,sub,16,attack,40.0,30.84564133284264,,,1.491402590441485,band_residual,0.008,,40.0,40.0
B_open,open,B,sub,16,stabilization,40.0,30.84564133284264,,,1.491402590441485,band_residual,0.014000000000000002,,40.0,40.0
B_open,open,B,sub,17,attack,40.0,30.885451240180508,,,1.3704069036495115,band_residual,0.008,,40.0,40.0
B_open,open,B,sub,17,stabilization,40.0,30.885451240180508,,,1.3704069036495115,band_residual,0.014000000000000002,,40.0,40.0
B_open,open,B,sub,18,attack,40.0,30.859007915767133,,,1.3902491989582435,band_residual,0.008,,40.0,40.0
B_open,open,B,sub,18,stabilization,40.0,30.859007915767133,,,1.3902491989582435,band_residual,0.014000000000000002,,40.0,40.0
B_open,open,B,sub,19,attack,40.0,30.891625308736206,,,1.1605616948091886,band_residual,0.008,,40.0,40.0
B_open,open,B,sub,19,stabilization,40.0,30.891625308736206,,,1.1605616948091886,band_residual,0.014000000000000002,,40.0,40.0
B_open,open,B,sub,20,attack,40.0,30.87794978916837,,,1.6022327029991483,band_residual,0.008,,40.0,40.0
B_open,open,B,sub,20,stabilization,40.0,30.87794978916837,,,1.6022327029991483,band_residual,0.014000000000000002,,40.0,40.0
B_open,open,B,sub,21,attack,40.0,30.832547804287646,,,1.808403382987345,band_residual,0.008,,40.0,40.0
B_open,open,B,sub,21,stabilization,40.0,30.832547804287646,,,1.808403382987345,band_residual,0.014000000000000002,,40.0,40.0
B_open,open,B,sub,22,attack,40.0,30.879526047664516,,,1.5162823913319976,band_residual,0.008,,40.0,40.0
B_open,open,B,sub,22,stabilization,40.0,30.879526047664516,,,1.5162823913319976,band_residual,0.014000000000000002,,40.0,40.0
B_open,open,B,sub,23,attack,40.0,30.866558357290433,,,1.307326999515736,band_residual,0.008,,40.0,40.0
B_open,open,B,sub,23,stabilization,40.0,30.866558357290433,,,1.307326999515736,band_residual,0.014000000000000002,,40.0,40.0
B_open,open,B,sub,24,attack,40.0,30.856516001593047,,,1.2108746351114223,band_residual,0.008,,40.0,40.0
B_open,open,B,sub,24,stabilization,40.0,30.856516001593047,,,1.2108746351114223,band_residual,0.014000000000000002,,40.0,40.0
B_open,open,B,sub,25,attack,40.0,30.87297674171429,,,1.0727834822244044,band_residual,0.008,,40.0,40.0
B_open,open,B,sub,25,stabilization,40.0,30.87297674171429,,,1.0727834822244044,band_residual,0.014000000000000002,,40.0,40.0
B_open,open,B,sub,25,sustain,162.57462287848793,30.87297674171429,-16.6848967388402,14.976774524091157,1.0727834822244044,band_residual,0.03,,162.57462287848793,162.57462287848793
B_open,open,B,sub,26,attack,40.0,30.848848932268332,,,1.4271162510868116,band_residual,0.008,,40.0,40.0
B_open,open,B,sub,26,stabilization,40.0,30.848848932268332,,,1.4271162510868116,band_residual,0.014000000000000002,,40.0,40.0
B_open,open,B,sub,27,attack,40.0,30.862708354264885,,,1.259036685851419,band_residual,0.008,,40.0,40.0
B_open,open,B,sub,27,stabilization,40.0,30.862708354264885,,,1.259036685851419,band_residual,0.014000000000000002,,40.0,40.0
B_open,open,B,sub,28,attack,40.0,30.873340139999566,,,1.481186173323865,band_residual,0.008,,40.0,40.0
B_open,open,B,sub,28,stabilization,40.0,30.873340139999566,,,1.481186173323865,band_residual,0.014000000000000002,,40.0,40.0
B_open,open,B,sub,29,attack,40.0,30.85011790474894,,,1.3541137477598493,band_residual,0.008,,40.0,40.0
B_open,open,B,sub,29,stabilization,40.0,30.85011790474894,,,1.3541137477598493,band_residual,0.014000000000000002,,40.0,40.0
B_open,open,B,sub,30,attack,40.0,30.867012258559583,,,1.597791654671248,band_residual,0.008,,40.0,40.0
B_open,open,B,sub,30,stabilization,40.0,30.867012258559583,,,1.597791654671248,band_residual,0.014000000000000002,,40.0,40.0
B_open,open,B,sub,31,attack,40.0,30.84756936950154,,,1.2163771139055266,band_residual,0.008,,40.0,40.0
B_open,open,B,sub,31,stabilization,40.0,30.84756936950154,,,1.2163771139055266,band_residual,0.014000000000000002,,40.0,40.0
B_open,open,B,sub,32,attack,40.0,30.86787419167027,,,1.3359827350853062,band_residual,0.008,,40.0,40.0
B_open,open,B,sub,32,stabilization,40.0,30.86787419167027,,,1.3359827350853062,band_residual,0.014000000000000002,,40.0,40.0
B_open,open,B,sub,33,attack,40.0,30.863183292871394,,,1.3034706448380682,band_residual,0.008,,40.0,40.0
B_open,open,B,sub,33,stabilization,40.0,30.863183292871394,,,1.3034706448380682,band_residual,0.014000000000000002,,40.0,40.0
B_open,open,B,sub,34,attack,40.0,30.868498175676223,,,1.088950999653919,band_residual,0.008,,40.0,40.0
B_open,open,B,sub,34,stabilization,40.0,30.868498175676223,,,1.088950999653919,band_residual,0.014000000000000002,,40.0,40.0
B_open,open,B,sub,35,attack,40.0,30.859691536772406,,,1.0472416375625462,band_residual,0.008,,40.0,40.0
B_open,open,B,sub,35,stabilization,40.0,30.859691536772406,,,1.0472416375625462,band_residual,0.014000000000000002,,40.0,40.0
B_open,open,B,sub,36,attack,40.0,30.86673791498868,,,1.2892351614209023,band_residual,0.008,,40.0,40.0
B_open,open,B,sub,36,stabilization,40.0,30.86673791498868,,,1.2892351614209023,band_residual,0.014000000000000002,,40.0,40.0
B_open,open,B,sub,37,attack,40.0,30.88271582286061,,,1.412094109912822,band_residual,0.008,,40.0,40.0
B_open,open,B,sub,37,stabilization,40.0,30.88271582286061,,,1.412094109912822,band_residual,0.014000000000000002,,40.0,40.0
B_open,open,B,sub,38,attack,40.0,30.807182548594746,,,1.8979505729223838,band_residual,0.008,,40.0,40.0
B_open,open,B,sub,38,stabilization,40.0,30.807182548594746,,,1.8979505729223838,band_residual,0.014000000000000002,,40.0,40.0
B_open,open,B,sub,39,attack,40.0,30.87615296454451,,,1.2149455168592083,band_residual,0.008,,40.0,40.0
B_open,open,B,sub,39,stabilization,40.0,30.87615296454451,,,1.2149455168592083,band_residual,0.014000000000000002,,40.0,40.0
B_open,open,B,sub,40,attack,40.0,30.88882193456814,,,1.394813340080235,band_residual,0.008,,40.0,40.0
B_open,open,B,sub,40,stabilization,40.0,30.88882193456814,,,1.394813340080235,band_residual,0.014000000000000002,,40.0,40.0
B_open,open,B,sub,41,attack,40.0,30.844669778673747,,,1.5381337905017265,band_residual,0.008,,40.0,40.0
B_open,open,B,sub,41,stabilization,40.0,30.844669778673747,,,1.5381337905017265,band_residual,0.014000000000000002,,40.0,40.0
