setup,band,center_hz,gain_db,frequency_hz,contribution_db
Bajo,1,30,16.0,20.0,11.728298787149088
Bajo,1,30,16.0,20.07233331950925,11.733198273037498
Bajo,1,30,16.0,20.14492824447408,11.738051165732033
Bajo,1,30,16.0,20.21778572103401,11.74285753084485
Bajo,1,30,16.0,20.29090669875047,11.747617433805198
Bajo,1,30,16.0,20.36429213061913,11.75233093984864
Bajo,1,30,16.0,20.437942973082333,11.756998114006326
Bajo,1,30,16.0,20.51186018604153,11.761619021094312
Bajo,1,30,16.0,20.58604473286984,11.76619372570306
Bajo,1,30,16.0,20.66049758042457,11.770722292186903
Bajo,1,30,16.0,20.735219699059822,11.775204784653678
Bajo,1,30,16.0,20.81021206263916,11.779641266954394
Bajo,1,30,16.0,20.88547564854828,11.78403180267301
Bajo,1,30,16.0,20.96101143770774,11.788376455116282
Bajo,1,30,16.0,21.03682041458579,11.792675287303718
Bajo,1,30,16.0,21.11290356721114,11.796928361957573
Bajo,1,30,16.0,21.189261887185907,11.801135741492985
Bajo,1,30,16.0,21.265896369698464,11.80529748800817
Bajo,1,30,16.0,21.342808013536477,11.809413663274697
Bajo,1,30,16.0,21.41999782109987,11.813484328727862
Bajo,1,30,16.0,21.497466798413928,11.817509545457165
Bajo,1,30,16.0,21.5752159551424,11.82148937419685
Bajo,1,30,16.0,21.653246304600625,11.825423875316543
Bajo,1,30,16.0,21.73155886376879,11.829313108811997
Bajo,1,30,16.0,21.810154653305155,11.833157134295899
Bajo,1,30,16.0,21.889034697559342,11.836956010988802
Bajo,1,30,16.0,21.96820002458573,11.84070979771011
Bajo,1,30,16.0,22.047651666156817,11.844418552869199
Bajo,1,30,16.0,22.127390657776665,11.84808233445658
Bajo,1,30,16.0,22.207418038694424,11.851701200035203
Bajo,1,30,16.0,22.287734851917847,11.855275206731834
Bajo,1,30,16.0,22.36834214422692,11.858804411228514
Bajo,1,30,16.0,22.44924096618746,11.86228886975413
Bajo,1,30,16.0,22.53043237216484,11.865728638076071
Bajo,1,30,16.0,22.611917420337715,11.869123771492003
Bajo,1,30,16.0,22.693697172711826,11.872474324821688
Bajo,1,30,16.0,22.77577269513383,11.875780352398948
Bajo,1,30,16.0,22.8581450573052,11.879041908063714
Bajo,1,30,16.0,22.94081533279616,11.882259045154145
Bajo,1,30,16.0,23.023784599059653,11.88543181649888
Bajo,1,30,16.0,23.107053937445457,11.88856027440937
Bajo,1,30,16.0,23.190624433214207,11.891644470672295
Bajo,1,30,16.0,23.27449717555155,11.894684456542102
Bajo,1,30,16.0,23.35867325758237,11.89768028273364
Bajo,1,30,16.0,23.44315377638503,11.900631999414857
Bajo,1,30,16.0,23.527939833005625,11.903539656199648
Bajo,1,30,16.0,23.6130325324724,11.90640330214077
Bajo,1,30,16.0,23.698432983810086,11.909222985722856
Bajo,1,30,16.0,23.78414230005442,11.911998754855537
Bajo,1,30,16.0,23.870161598266595,11.914730656866663
Bajo,1,30,16.0,23.95649199954785,11.917418738495627
Bajo,1,30,16.0,24.043134629054062,11.920063045886774
Bajo,1,30,16.0,24.130090616010435,11.922663624582926
Bajo,1,30,16.0,24.2173610937262,11.925220519519
Bajo,1,30,16.0,24.30494719960938,11.927733775015723
Bajo,1,30,16.0,24.392850075181627,11.930203434773464
Bajo,1,30,16.0,24.481070866093106,11.932629541866145
Bajo,1,30,16.0,24.5696107221374,11.935012138735273
Bajo,1,30,16.0,24.65847079726652,11.937351267184045
Bajo,1,30,16.0,24.74765224960594,11.939646968371598
Bajo,1,30,16.0,24.83715624146968,11.941899282807318
Bajo,1,30,16.0,24.92698393937546,11.944108250345275
Bajo,1,30,16.0,25.01713651405991,11.946273910178753
Bajo,1,30,16.0,25.10761514049382,11.94839630083488
Bajo,1,30,16.0,25.198420997897465,11.950475460169361
Bajo,1,30,16.0,25.28955526975595,11.952511425361319
Bajo,1,30,16.0,25.381019143834664,11.95450423290823
Bajo,1,30,16.0,25.472813812194744,11.956453918620959
Bajo,1,30,16.0,25.56494047120861,11.958360517618924
Bajo,1,30,16.0,25.657400321575565,11.96022406432531
Bajo,1,30,16.0,25.75019456833744,11.962044592462444
Bajo,1,30,16.0,25.84332442089429,11.96382213504724
Bajo,1,30,16.0,25.936791093020197,11.965556724386746
Bajo,1,30,16.0,26.03059580287901,11.967248392073806
Bajo,1,30,16.0,26.12473977304031,11.968897168982828
Bajo,1,30,16.0,26.21922423049529,11.970503085265635
Bajo,1,30,16.0,26.314050406672752,11.972066170347436
Bajo,1,30,16.0,26.409219537455183,11.973586452922909
Bajo,1,30,16.0,26.504732863194825,11.975063960952347
Bajo,1,30,16.0,26.600591628729877,11.976498721657961
Bajo,1,30,16.0,26.69679708340069,11.977890761520255
Bajo,1,30,16.0,26.793350481066057,11.979240106274496
Bajo,1,30,16.0,26.890253080119585,11.98054678090731
Bajo,1,30,16.0,26.98750614350604,11.981810809653382
Bajo,1,30,16.0,27.08511093873785,11.983032215992234
Bajo,1,30,16.0,27.183068737911626,11.984211022645132
Bajo,1,30,16.0,27.281380817724703,11.985347251572094
Bajo,1,30,16.0,27.38004845949181,11.986440923968985
Bajo,1,30,16.0,27.479072949161782,11.98749206026472
Bajo,1,30,16.0,27.57845557733428,11.988500680118612
Bajo,1,30,16.0,27.67819763927664,11.989466802417738
Bajo,1,30,16.0,27.778300434940743,11.990390445274508
Bajo,1,30,16.0,27.87876526897999,11.991271626024261
Bajo,1,30,16.0,27.979593450766224,11.992110361222997
Bajo,1,30,16.0,28.08078629440689,11.992906666645222
Bajo,1,30,16.0,28.18234511876212,11.993660557281885
Bajo,1,30,16.0,28.284271247461906,11.994372047338395
Bajo,1,30,16.0,28.38656600892336,11.995041150232794
Bajo,1,30,16.0,28.489230736368064,11.995667878593997
Bajo,1,30,16.0,28.5922667678394,11.99625224426014
Bajo,1,30,16.0,28.695675446220005,11.996794258277037
Bajo,1,30,16.0,28.799458119249277,11.997293930896753
Bajo,1,30,16.0,28.903616139540933,11.997751271576258
Bajo,1,30,16.0,29.00815086460065,11.998166288976195
Bajo,1,30,16.0,29.113063656843742,11.998538990959762
Bajo,1,30,16.0,29.21835588361294,11.998869384591694
Bajo,1,30,16.0,29.32402891719617,11.999157476137325
Bajo,1,30,16.0,29.430084134844485,11.999403271061794
Bajo,1,30,16.0,29.536522918789988,11.999606774029326
Bajo,1,30,16.0,29.64334665626385,11.999767988902622
Bajo,1,30,16.0,29.750556739514412,11.99988691874238
Bajo,1,30,16.0,29.85815456582529,11.999963565806862
Bajo,1,30,16.0,29.96614153753363,11.999997931551633
Bajo,1,30,16.0,30.07451906204833,11.99999001662935
Bajo,1,30,16.0,30.183288551868458,11.99993982088971
Bajo,1,30,16.0,30.29245142460158,11.999847343379408
Bajo,1,30,16.0,30.402009102982294,11.999712582342337
Bajo,1,30,16.0,30.511963014890764,11.999535535219753
Bajo,1,30,16.0,30.622314593371303,11.99931619865064
