setup,architecture,worst_region_rmse,mean_region_rmse,global_rmse,p95,region_rmse_json
Bajo,principal_fixed_quantized,0.574848952746941,0.4686532139052522,0.4994893295607488,0.8299388727405788,"[0.254837, 0.518, 0.574849, 0.516203, 0.479377]"
Bajo,fixed_continuous_gain,0.522046536186739,0.4741758261844371,0.4873255765324222,0.7623114166865264,"[0.288154, 0.516586, 0.522047, 0.522047, 0.522046]"
Bajo,fixed_frequency_variable_q_continuous,0.17608255779407464,0.15061407800980015,0.14569805860133186,0.2837461055809687,"[0.161941, 0.100792, 0.138177, 0.176077, 0.176083]"
Bajo,free_frequency_q_historical,0.22675930751579593,0.18924913855277442,0.18586114737420145,0.33095161921289956,"[0.185216, 0.226759, 0.156667, 0.156444, 0.22116]"
Híbrido,principal_fixed_quantized,0.7230722634446209,0.5399172768755831,0.593607850930531,0.9803152067932048,"[0.062238, 0.587193, 0.708492, 0.618591, 0.723072]"
Híbrido,fixed_continuous_gain,0.6918143981139955,0.5181330668452102,0.5531588053568585,1.0371671270121101,"[0.128687, 0.387047, 0.691308, 0.691814, 0.691809]"
Híbrido,fixed_frequency_variable_q_continuous,0.39990175324922655,0.24652397136404564,0.21664414233112947,0.5728541523231492,"[0.170311, 0.138818, 0.123687, 0.399902, 0.399902]"
Híbrido,free_frequency_q_historical,0.2732702753554141,0.14414608623382072,0.15202578834952468,0.3012831902943491,"[0.27327, 0.115515, 0.07833, 0.123435, 0.13018]"
Guitarra,principal_fixed_quantized,0.6193231380885246,0.4778455930360586,0.49914586334446504,0.8865495133370955,"[0.300804, 0.397594, 0.619323, 0.504392, 0.567114]"
Guitarra,fixed_continuous_gain,0.5776821003431697,0.4485102650101413,0.4744373575009274,0.8637441772178451,"[0.176073, 0.366599, 0.577682, 0.57768, 0.544517]"
Guitarra,fixed_frequency_variable_q_continuous,0.2744164691079431,0.18541056463298317,0.187715951867438,0.3946590639070095,"[0.091228, 0.072803, 0.214189, 0.274416, 0.274416]"
Guitarra,free_frequency_q_historical,0.5837615289502834,0.21182493556215895,0.27424720798306507,0.7591562412902397,"[0.583762, 0.08947, 0.109081, 0.150702, 0.126111]"
