setup,low_hz,high_hz,rmse_db,squared_error_sum
Bajo,20,40,0.27539503636570706,14.561745802534872
Bajo,40,80,0.1677960065137049,5.405855961973881
Bajo,80,160,0.4616970314827011,40.92751658494815
Bajo,160,320,0.6621127513749338,84.17151274239069
Bajo,320,640,0.2844477977576288,15.534825532639658
Bajo,640,1280,0.765557754862781,112.52710579786404
Bajo,1280,2560,0.49091730220241797,46.27196113952643
Bajo,2560,5120,0.5368881967506072,55.34379567554279
Bajo,5120,10240,0.4514542613969751,39.131702425629754
Bajo,10240,18000,0.7531207987562099,89.04897719051307
Híbrido,20,40,0.03327536958437311,0.21259204242751167
Híbrido,40,80,0.07767238367787192,1.1583358437508884
Híbrido,80,160,0.41737778866444075,33.44720994632037
Híbrido,160,320,0.9154010185604488,160.88813275804935
Híbrido,320,640,0.4753612083249983,43.385909448998866
Híbrido,640,1280,0.8413334296973443,135.90565246584885
Híbrido,1280,2560,0.49763804711528214,47.54757617984866
Híbrido,2560,5120,0.6927233495371484,92.13420268684153
Híbrido,5120,10240,0.5612615439988242,60.48278798821326
Híbrido,10240,18000,0.976207662275598,149.61807978203728
Guitarra,20,40,0.2629624450564282,13.27665552193056
Guitarra,40,80,0.32627387201639974,20.439290795630207
Guitarra,80,160,0.22889335559125268,10.05929630089414
Guitarra,160,320,0.6299102978124193,76.18310079170509
Guitarra,320,640,0.3949782339465141,29.95349861596939
Guitarra,640,1280,0.7669256675612733,112.92959607634651
Guitarra,1280,2560,0.5193858637215885,51.79424168329352
Guitarra,2560,5120,0.5933213504204704,67.58980317403595
Guitarra,5120,10240,0.4376944935252091,36.78268217515955
Guitarra,10240,18000,0.9210255075295386,133.18121372664694
