file,high_gap_1_s,high_gap_2_s,label,lo_s,hi_s,a,b,ridge_points,ridge_log_rmse,estimated_low_hz,estimated_high_hz
1 22k.m4a,20.925,60.905,up1,1.1750000000000007,20.575,-0.4828379760830423,0.4999614948673283,842,0.00901855892629576,1.1102850458119637,18103.666771770248
1 22k.m4a,20.925,60.905,down1,21.275000000000002,40.675,20.484966121113835,-0.5001282546515711,834,0.00946136071704231,18858.8485796091,1.1528640945313229
1 22k.m4a,20.925,60.905,up2,41.155,60.555,-20.47176768576079,0.4998017013329168,848,0.00922317857259742,1.1024900822374442,17920.92562640217
1 22k.m4a,20.925,60.905,down2,61.255,80.655,40.482570072659534,-0.500011463669833,835,0.00945640058035606,19041.343456836097,1.166660588981381
1 22k rc bass on.m4a,21.655,61.645,up1,1.9050000000000011,21.305,-0.7852923128185667,0.4998612530837863,838,0.008862088483097249,1.1816873495476,19230.4777858364
1 22k rc bass on.m4a,21.655,61.645,down1,22.005000000000003,41.405,20.784141198037073,-0.49991632604780256,839,0.009181549348348115,17738.31810583464,1.0888321698036607
1 22k rc bass on.m4a,21.655,61.645,up2,41.895,61.295,-20.777483178123713,0.49982223963529626,844,0.009026372981890143,1.1765301449183043,19132.06496322923
1 22k rc bass on.m4a,21.655,61.645,down2,61.995000000000005,81.39500000000001,40.79941415780762,-0.500204820616927,839,0.009433523135000243,17840.31929474308,1.0889814215375346
1 22k rc hybrid on.m4a,22.045,62.055,up1,2.2950000000000017,21.695,-1.0570134199433336,0.49992689574090177,876,0.00916811302288306,1.094523168403686,17834.687629176424
1 22k rc hybrid on.m4a,22.045,62.055,down1,22.395000000000003,41.795,21.055041547484144,-0.4999185320105281,874,0.008760247573460393,19136.753329454663,1.174622127320678
1 22k rc hybrid on.m4a,22.045,62.055,up2,42.305,61.705,-21.04827461871543,0.49981868111377575,875,0.008647786785797775,1.1013698087892134,17908.613897644078
1 22k rc hybrid on.m4a,22.045,62.055,down2,62.405,81.805,41.052475008052134,-0.49993280761006215,876,0.009261728610773822,19037.540967654888,1.1682088536892548
1 22k rc guitar on.m4a,22.175,62.255,up1,2.4250000000000007,21.825,-1.0530737910985661,0.5002830094706133,878,0.008712445125570357,1.173642906451393,19256.4796947839
1 22k rc guitar on.m4a,22.175,62.255,down1,22.525000000000002,41.925,21.038736752003725,-0.49969644168237937,882,0.00893014385315895,17731.0816346187,1.0930406879835033
1 22k rc guitar on.m4a,22.175,62.255,up2,42.505,61.905,-21.039101060488292,0.4998315803505051,884,0.008823341737348313,1.2290484625467677,19989.7100194728
1 22k rc guitar on.m4a,22.175,62.255,down2,62.605000000000004,82.005,41.059268413162556,-0.500181912235735,876,0.009254997221004367,17075.155608690744,1.0427387865105138
